date,cpi_yoy_growth,cpi_yoy
2000-01,0.09999999999999432,100.1
2000-02,0.0,100.0
2000-03,-0.09999999999999432,99.9
2000-04,-0.20000000000000284,99.8
2000-05,0.0,100.0
2000-06,0.20000000000000284,100.2
2000-07,0.20000000000000284,100.2
2000-08,0.0,100.0
2000-09,0.20000000000000284,100.2
2000-10,0.5,100.5
2000-11,0.7999999999999972,100.8
2000-12,0.7999999999999972,100.8
2001-01,0.5,100.5
2001-02,0.5999999999999943,100.6
2001-03,0.7000000000000028,100.7
2001-04,1.2999999999999972,101.3
2001-05,1.4000000000000057,101.4
2001-06,1.2000000000000028,101.2
2001-07,0.7999999999999972,100.8
2001-08,0.4000000000000057,100.4
2001-09,0.0,100.0
2001-10,-0.20000000000000284,99.8
2001-11,-0.5,99.5
2001-12,-0.7000000000000028,99.3
2002-01,-0.7000000000000028,99.3
2002-02,-0.7999999999999972,99.2
2002-03,-0.9000000000000057,99.1
2002-04,-1.2000000000000028,98.8
2002-05,-1.2000000000000028,98.8
2002-06,-1.0,99.0
2002-07,-1.0,99.0
2002-08,-0.9000000000000057,99.1
2002-09,-0.9000000000000057,99.1
2002-10,-0.9000000000000057,99.1
2002-11,-0.5,99.5
2002-12,-0.20000000000000284,99.8
2003-01,0.09999999999999432,100.1
2003-02,0.29999999999999716,100.3
2003-03,0.5999999999999943,100.6
2003-04,0.5999999999999943,100.6
2003-05,0.4000000000000057,100.4
2003-06,0.4000000000000057,100.4
2003-07,0.4000000000000057,100.4
2003-08,0.9000000000000057,100.9
2003-09,1.5999999999999943,101.6
2003-10,2.0,102.0
2003-11,2.4000000000000057,102.4
2003-12,2.700000000000003,102.7
2004-01,2.5999999999999943,102.6
2004-02,2.799999999999997,102.8
2004-03,3.0999999999999943,103.1
2004-04,3.799999999999997,103.8
2004-05,4.400000000000006,104.4
2004-06,4.700000000000003,104.7
2004-07,5.099999999999994,105.1
2004-08,5.0,105.0
2004-09,4.200000000000003,104.2
2004-10,3.799999999999997,103.8
2004-11,3.200000000000003,103.2
2004-12,2.700000000000003,102.7
2005-01,2.799999999999997,102.8
2005-02,2.700000000000003,102.7
2005-03,2.9000000000000057,102.9
2005-04,2.200000000000003,102.2
2005-05,1.7000000000000028,101.7
2005-06,1.5999999999999943,101.6
2005-07,1.4000000000000057,101.4
2005-08,1.0999999999999943,101.1
2005-09,1.0,101.0
2005-10,1.0,101.0
2005-11,1.2999999999999972,101.3
2005-12,1.4000000000000057,101.4
2006-01,1.9000000000000057,101.9
2006-02,0.9000000000000057,100.9
2006-03,0.7999999999999972,100.8
2006-04,1.2000000000000028,101.2
2006-05,1.4000000000000057,101.4
2006-06,1.5,101.5
2006-07,1.0,101.0
2006-08,1.2999999999999972,101.3
2006-09,1.5,101.5
2006-10,1.4000000000000057,101.4
2006-11,1.9000000000000057,101.9
2006-12,2.799999999999997,102.8
2007-01,2.200000000000003,102.2
2007-02,2.700000000000003,102.7
2007-03,3.299999999999997,103.3
2007-04,3.0,103.0
2007-05,3.4000000000000057,103.4
2007-06,4.400000000000006,104.4
2007-07,5.599999999999994,105.6
2007-08,6.5,106.5
2007-09,6.200000000000003,106.2
2007-10,6.5,106.5
2007-11,6.900000000000006,106.9
2007-12,6.5,106.5
2008-01,7.079999999999998,107.08
2008-02,8.739999999999995,108.74
2008-03,8.310000000000002,108.31
2008-04,8.480000000000004,108.48
2008-05,7.719999999999999,107.72
2008-06,7.079999999999998,107.08
2008-07,6.299999999999997,106.3
2008-08,4.900000000000006,104.9
2008-09,4.640000000000001,104.64
2008-10,3.969999999999999,103.97
2008-11,2.430000000000007,102.43
2008-12,1.2000000000000028,101.2
2009-01,0.9500000000000028,100.95
2009-02,-1.5600000000000023,98.44
2009-03,-1.1700000000000017,98.83
2009-04,-1.5,98.5
2009-05,-1.3700000000000045,98.63
2009-06,-1.7000000000000028,98.3
