year,month,month-19,month-17,month-15,month-13,month-11,month-9,month-7,month-5,month-3,month-1,actual
2007,2,100,100.7,99.7,101.3,99.1,99.9,99.7,100.5,100.3,100.7,101
2007,3,100.2,100.4,100.4,100.5,100.2,99.5,100.3,100.1,101.4,101,99.7
2007,4,100.7,99.7,101.3,99.1,99.9,99.7,100.5,100.3,100.7,99.7,99.9
2007,5,100.4,100.4,100.5,100.2,99.5,100.3,100.1,101.4,101,99.9,100.3
2007,6,99.7,101.3,99.1,99.9,99.7,100.5,100.3,100.7,99.7,100.3,100.4
2007,7,100.4,100.5,100.2,99.5,100.3,100.1,101.4,101,99.9,100.4,100.9
2007,8,101.3,99.1,99.9,99.7,100.5,100.3,100.7,99.7,100.3,100.9,101.2
2007,9,100.5,100.2,99.5,100.3,100.1,101.4,101,99.9,100.4,101.2,100.3
2007,10,99.1,99.9,99.7,100.5,100.3,100.7,99.7,100.3,100.9,100.3,100.3
2007,11,100.2,99.5,100.3,100.1,101.4,101,99.9,100.4,101.2,100.3,100.7
2007,12,99.9,99.7,100.5,100.3,100.7,99.7,100.3,100.9,100.3,100.7,101
2008,1,99.5,100.3,100.1,101.4,101,99.9,100.4,101.2,100.3,101,101.2
2008,2,99.7,100.5,100.3,100.7,99.7,100.3,100.9,100.3,100.7,101.2,102.6
2008,3,100.3,100.1,101.4,101,99.9,100.4,101.2,100.3,101,102.6,99.3
2008,4,100.5,100.3,100.7,99.7,100.3,100.9,100.3,100.7,101.2,99.3,100.1
2008,5,100.1,101.4,101,99.9,100.4,101.2,100.3,101,102.6,100.1,99.6
2008,6,100.3,100.7,99.7,100.3,100.9,100.3,100.7,101.2,99.3,99.6,99.8
2008,7,101.4,101,99.9,100.4,101.2,100.3,101,102.6,100.1,99.8,100.1
2008,8,100.7,99.7,100.3,100.9,100.3,100.7,101.2,99.3,99.6,100.1,99.9
2008,9,101,99.9,100.4,101.2,100.3,101,102.6,100.1,99.8,99.9,100
2008,10,99.7,100.3,100.9,100.3,100.7,101.2,99.3,99.6,100.1,100,99.7
2008,11,99.9,100.4,101.2,100.3,101,102.6,100.1,99.8,99.9,99.7,99.2
2008,12,100.3,100.9,100.3,100.7,101.2,99.3,99.6,100.1,100,99.2,99.8
2009,1,100.4,101.2,100.3,101,102.6,100.1,99.8,99.9,99.7,99.8,100.9
2009,2,100.9,100.3,100.7,101.2,99.3,99.6,100.1,100,99.2,100.9,100
2009,3,101.2,100.3,101,102.6,100.1,99.8,99.9,99.7,99.8,100,99.7
2009,4,100.3,100.7,101.2,99.3,99.6,100.1,100,99.2,100.9,99.7,99.8
2009,5,100.3,101,102.6,100.1,99.8,99.9,99.7,99.8,100,99.8,99.7
2009,6,100.7,101.2,99.3,99.6,100.1,100,99.2,100.9,99.7,99.7,99.5
2009,7,101,102.6,100.1,99.8,99.9,99.7,99.8,100,99.8,99.5,100
2009,8,101.2,99.3,99.6,100.1,100,99.2,100.9,99.7,99.7,100,100.5
2009,9,102.6,100.1,99.8,99.9,99.7,99.8,100,99.8,99.5,100.5,100.4
2009,10,99.3,99.6,100.1,100,99.2,100.9,99.7,99.7,100,100.4,99.9
2009,11,100.1,99.8,99.9,99.7,99.8,100,99.8,99.5,100.5,99.9,100.3
2009,12,99.6,100.1,100,99.2,100.9,99.7,99.7,100,100.4,100.3,101
2010,1,99.8,99.9,99.7,99.8,100,99.8,99.5,100.5,99.9,101,100.6
2010,2,100.1,100,99.2,100.9,99.7,99.7,100,100.4,100.3,100.6,101.2
2010,3,99.9,99.7,99.8,100,99.8,99.5,100.5,99.9,101,101.2,99.3
2010,4,100,99.2,100.9,99.7,99.7,100,100.4,100.3,100.6,99.3,100.2
2010,5,99.7,99.8,100,99.8,99.5,100.5,99.9,101,101.2,100.2,99.9
2010,6,99.2,100.9,99.7,99.7,100,100.4,100.3,100.6,99.3,99.9,99.4
2010,7,99.8,100,99.8,99.5,100.5,99.9,101,101.2,100.2,99.4,100.4
2010,8,100.9,99.7,99.7,100,100.4,100.3,100.6,99.3,99.9,100.4,100.6
2010,9,100,99.8,99.5,100.5,99.9,101,101.2,100.2,99.4,100.6,100.6
2010,10,99.7,99.7,100,100.4,100.3,100.6,99.3,99.9,100.4,100.6,100.7
2010,11,99.8,99.5,100.5,99.9,101,101.2,100.2,99.4,100.6,100.7,101.1
2010,12,99.7,100,100.4,100.3,100.6,99.3,99.9,100.4,100.6,101.1,100.5
2011,1,99.5,100.5,99.9,101,101.2,100.2,99.4,100.6,100.7,100.5,101
2011,2,100,100.4,100.3,100.6,99.3,99.9,100.4,100.6,101.1,101,101.2
2011,3,100.5,99.9,101,101.2,100.2,99.4,100.6,100.7,100.5,101.2,99.8
2011,4,100.4,100.3,100.6,99.3,99.9,100.4,100.6,101.1,101,99.8,100.1
2011,5,99.9,101,101.2,100.2,99.4,100.6,100.7,100.5,101.2,100.1,100.1
2011,6,100.3,100.6,99.3,99.9,100.4,100.6,101.1,101,99.8,100.1,100.3
2011,7,101,101.2,100.2,99.4,100.6,100.7,100.5,101.2,100.1,100.3,100.5
2011,8,100.6,99.3,99.9,100.4,100.6,101.1,101,99.8,100.1,100.5,100.3
2011,9,101.2,100.2,99.4,100.6,100.7,100.5,101.2,100.1,100.3,100.3,100.5
2011,10,99.3,99.9,100.4,100.6,101.1,101,99.8,100.1,100.5,100.5,100.1
2011,11,100.2,99.4,100.6,100.7,100.5,101.2,100.1,100.3,100.3,100.1,99.8
2011,12,99.9,100.4,100.6,101.1,101,99.8,100.1,100.5,100.5,99.8,100.3
