model,MAE,RMSE,MAPE,MASE
Naive,0.37446808510638285,0.5123994452469298,0.0037188983887677467,1.0
Ridge,0.250516142748742,0.33892731696314327,0.0024921498064306635,0.6689919721131181
RandomForest,0.31357268378621,0.394092910072132,0.003118415444485844,0.8373815987472656
SVR,0.2505718352680517,0.34032392111881243,0.002491102935111311,0.6691406964544565
XGBoost,0.3185777475507004,0.39822376036834956,0.003168207076023289,0.8507473940274388
SARIMAX,0.3221709127306027,0.4080906818497248,0.003202799823672742,0.860342778314678
