split,num_pairs,num_targets,delta_mae,delta_rmse,cpi_mae,cpi_rmse
train,972,189,0.4281206413562643,0.5503359685076724,0.3355468460815974,0.43533159344902345
val,225,45,0.4827484985021759,0.6099656140087509,0.38311632846171967,0.47527525811151755
test,235,47,0.42375779063110985,0.5420265306965134,0.330009002242628,0.42608723410618926
