model,MAE,RMSE,MAPE,MASE
Naive,0.4574468085106383,0.6190246274274569,0.004575776564897271,1.0
Ridge,0.29312324834267206,0.3851790211623769,0.0029346450782817782,0.6407810545165389
RandomForest,0.28656112432602876,0.36068096676880523,0.002866972302586225,0.6264359462010861
SVR,0.3084376820381099,0.381310050648788,0.0030871770718499097,0.6742591188740077
XGBoost,0.2675093630526926,0.34795286446976137,0.002675001177594554,0.5847879099291419
SARIMAX,0.32105810473753926,0.41435461530686196,0.003211828516329611,0.7018479498913649
