model,MAE,RMSE
SVR,0.3013017571591821,0.37597282079817196
Ordinary_Full_212,0.27983273457363234,0.35523423501225104
Ordinary_Matched_189,0.32043943857437795,0.39662216494055424
Siamese_189,0.29560059941144645,0.39152489503307913
