model,MAE,RMSE,MAPE,MASE,category
Naive,0.3553191489361703,0.4795831523312719,0.0035320794993022,1.0,Baseline
Ridge,0.2897015200768477,0.3837366489459431,0.002882919590436,0.8153276313540023,Baseline
RandomForest,0.2813219923392632,0.3492749224191348,0.0027978239968911,0.791744529338046,Baseline
SVR,0.3013017571591821,0.3759728207981713,0.0029970311634953,0.8479750051785363,Baseline
XGBoost,0.2617946598817428,0.338357423052753,0.0026031528153441,0.736787366134246,Baseline
SARIMAX,0.3155878387476653,0.4015581327617707,0.0031371246558659,0.8881813425832495,Baseline
Ordinary Optical Reservoir,0.2798327345736299,0.3552342350122483,,,Reservoir
Siamese Optical Reservoir,0.3300090022426307,0.4260872341061902,,,Siamese Reservoir
