model,MAE,RMSE
XGBoost,0.2617946598817452,0.33835742305275407
Ordinary_Full_212,0.27983273457363234,0.35523423501225104
Ordinary_Matched_189,0.32043943857437795,0.39662216494055424
Siamese_189,0.29560059941144645,0.39152489503307913
