model,mean_residual,residual_std,median_absolute_error,max_absolute_error
siamese,0.12029911409846308,0.37258538159432536,0.2112018878248989,0.9052040301691449
ordinary_full,0.1271133894288528,0.33171305062153655,0.21314361431873863,0.9490016033265931
ordinary_matched,0.20695826115257795,0.33834511946063817,0.28581784910178953,0.979059032009971
