feature_mode,aggregation,alpha,val_mae,val_rmse,test_mae,test_rmse
signed_diff,mean,10.0,0.38311632846171967,0.47527525811151755,0.330009002242628,0.42608723410618926
signed_diff,inverse_distance,10.0,0.3859555809889356,0.47689941147644066,0.32924060467222355,0.42623355558997017
signed_abs,mean,10.0,0.401773771878653,0.486552358249458,0.34310253600639506,0.44806132210906763
signed_abs,inverse_distance,10.0,0.40378421902628553,0.4891681538625231,0.3409903543720323,0.44821383863920733
concat,inverse_distance,10.0,0.4049868927770398,0.5021654132804712,0.39055203561878066,0.4836437424051399
concat,mean,10.0,0.40576440239696515,0.5038945970256631,0.39239732280362927,0.48374924749622367
