test_rmse_rank,model,optimized_by_ssa,val_mae,val_rmse,test_mae,test_rmse,family,test_mae_change_percent_vs_ordinary,test_rmse_change_percent_vs_ordinary
1,gradient_boosting,False,0.4102307172408918,0.5135574097334565,0.3057044949958636,0.3823991927129422,classical,-1.8639525465452333,-3.723576285499075
2,ridge,False,0.3830286841111703,0.4843747257238855,0.2967339544272525,0.3951745510671638,classical,-4.743639987635284,-0.5071316970845507
3,ordinary_optical_reservoir,False,0.3861778208012728,0.4876982377447144,0.3115109105457473,0.3971888214781561,optical_reservoir,0.0,0.0
4,siamese_closed50_ssa,True,0.3530485490695159,0.4467909293118404,0.3039294687442239,0.4001418518170804,optical_reservoir,-2.433764450895548,0.7434827415168543
5,random_forest,False,0.3998322622152077,0.4934285504880932,0.3278266227723981,0.4021330238999104,classical,5.237605385335198,1.2447989858713093
6,siamese_closed50_baseline,False,0.3705124377960762,0.4672915034653418,0.3197922112102279,0.4062103134980261,optical_reservoir,2.6584303740669224,2.2713358312291154
7,svr_rbf,False,0.4033651031376933,0.5024813716737498,0.362916091444765,0.4660538584201046,classical,16.501887785875336,17.338110545423756
8,naive_last_value,False,0.491111111111111,0.6357847294660535,0.4574468085106383,0.6190246274274569,classical,46.84776456440019,55.85147263805885
9,linear_regression,False,0.6210850471740116,0.8175139395849478,0.7714386915893398,0.8583898201499629,classical,147.64419655087787,116.11630885165059
