evaluation_index,gap_months,k_references,level_weight,distance_power,max_pairs_per_bin,shape_weight,fitness,val_mae,val_rmse,validation_block_rmse_std,selected_alpha,num_train_pairs,num_train_pair_targets
318,1,4,0.012,0.566,1,0.988,0.4601910127336944,0.36563629268274556,0.45325456848416057,0.06936444249533841,100.0,92,38
300,1,4,0.012,0.588,1,0.988,0.4602582389099266,0.36568979564820076,0.45333666417352675,0.06921574736399869,100.0,92,38
264,1,4,0.012,0.63,1,0.988,0.4603914520280328,0.36579289174398943,0.453498484982555,0.06892967045477749,100.0,92,38
315,1,7,0.023,0.751,1,0.977,0.46040543314273025,0.35299110279150686,0.45404676805886546,0.06358665083864766,100.0,92,38
288,1,5,0.0,0.922,1,1.0,0.4608463678005318,0.36597198005864934,0.45573728125718166,0.051090865433501526,100.0,92,38
321,1,4,0.0,0.565,1,1.0,0.46112635123336804,0.3697513136451461,0.45405286155096525,0.07073489682402787,100.0,92,38
98,12,8,0.072,1.173,2,0.928,0.4615244268843425,0.36112968967787157,0.4535784109053023,0.0794601597904013,100.0,116,27
333,1,4,0.038,0.6,1,0.962,0.4623492153462353,0.36542314117518454,0.4566286039157926,0.05720611430442743,100.0,92,38
198,12,9,0.1,1.749,2,0.9,0.4626004585402336,0.3607257692875452,0.4546999241115276,0.07900534428705958,100.0,116,27
238,12,9,0.107,1.756,2,0.893,0.4630978376053277,0.36260225051943407,0.45530266451633344,0.07795173088994271,100.0,116,27
228,12,9,0.11,1.758,2,0.89,0.46347943214146103,0.3630083286191592,0.4557588051537667,0.07720626987694297,100.0,116,27
226,12,8,0.096,1.588,2,0.904,0.4645875796014654,0.36360668017642234,0.45680072115321907,0.0778685844824635,100.0,116,27
60,12,9,0.073,1.259,2,0.927,0.4647477709417334,0.361457392750908,0.45680834905573964,0.079394218859938,100.0,116,27
239,12,9,0.112,1.737,2,0.888,0.4649132080607896,0.3651179778240507,0.4572951271426529,0.07618080918136727,100.0,116,27
258,12,5,0.0,0.5,2,1.0,0.46498487621238394,0.36407344613681086,0.458651607605997,0.06333268606386963,100.0,116,27
240,12,9,0.08,1.769,2,0.92,0.46499314373294415,0.36338764786341926,0.4573197588955434,0.07673384837400783,100.0,116,27
