model,optimized_by_ssa,val_mae,val_rmse,test_mae,test_rmse
ordinary_optical_reservoir,False,0.3861778208012728,0.4876982377447144,0.3115109105457473,0.3971888214781561
siamese_closed50_baseline,False,0.37051243779607623,0.4672915034653418,0.3197922112102279,0.4062103134980261
siamese_closed50_ssa,True,0.35304854906951594,0.44679092931184045,0.3039294687442239,0.4001418518170804
