seed,iteration,best_fitness,population_mean_fitness
42.0,0.0,0.47564510202811555,0.542032200245595
42.0,1.0,0.47240766580917515,0.5475145817787467
42.0,2.0,0.47240766580917515,0.5761247507480061
42.0,3.0,0.47240766580917515,0.539433192454084
42.0,4.0,0.47240766580917515,0.5452341734268223
42.0,5.0,0.4702786098642629,0.5631439814831586
42.0,6.0,0.4647477709417334,0.5690487867536046
42.0,7.0,0.4647477709417334,0.5502145832298327
42.0,8.0,0.4591464378425837,0.5695836984675916
42.0,9.0,0.4591464378425837,0.5493152160282517
42.0,10.0,0.4591464378425837,0.5257671028204347
42.0,11.0,0.4591464378425837,0.5460702224285582
42.0,12.0,0.4591464378425837,0.5587471945976191
43.0,0.0,0.47564510202811555,0.5327892423467854
43.0,1.0,0.4753859337978554,0.5462084690718956
43.0,2.0,0.47503759988116845,0.5572816839689858
43.0,3.0,0.4697989990038256,0.5782725998350752
43.0,4.0,0.4697989990038256,0.5512439931670826
43.0,5.0,0.46775476734273835,0.5747274764038468
43.0,6.0,0.46775476734273835,0.565065583462843
43.0,7.0,0.46710379089685583,0.5764088183658784
43.0,8.0,0.4626004585402336,0.5248970011212446
43.0,9.0,0.4626004585402336,0.5588313630377738
43.0,10.0,0.4626004585402336,0.5510966778975692
43.0,11.0,0.4626004585402336,0.5696168631325227
43.0,12.0,0.4626004585402336,0.5455430033328055
44.0,0.0,0.47564510202811555,0.5216813998442181
44.0,1.0,0.46498487621238394,0.5280221825736752
44.0,2.0,0.4603914520280328,0.5819576295859809
44.0,3.0,0.4557876020553084,0.5629866427967399
44.0,4.0,0.4557858418692344,0.5432215020125027
44.0,5.0,0.4557858418692344,0.5909604029014776
44.0,6.0,0.4557858418692344,0.5226090892710049
44.0,7.0,0.4557858418692344,0.5207876305451044
44.0,8.0,0.455722448497983,0.5481464053277029
44.0,9.0,0.455722448497983,0.5365077899123011
44.0,10.0,0.4520166779032874,0.5225263028979961
44.0,11.0,0.4520166779032874,0.5211148826389169
44.0,12.0,0.4520166779032874,0.5740996606117815
