seed,gap_months,k_references,level_weight,distance_power,max_pairs_per_bin,shape_weight,fitness,val_mae,val_rmse,validation_block_rmse_std,selected_alpha
42,12,8,0.061,1.163,2,0.9390000000000001,0.4591464378425837,0.3574381551068099,0.4510998786441174,0.08046559198466303,100.0
43,12,9,0.1,1.749,2,0.9,0.4626004585402336,0.3607257692875452,0.4546999241115276,0.07900534428705958,100.0
44,1,5,0.041,0.654,1,0.959,0.4520166779032874,0.35304854906951594,0.44679092931184045,0.05225748591446977,100.0
