seed,epoch,train_pair_mse
42,1,0.4747758120988992
42,2,0.27399745139952436
42,3,0.14165033840984373
42,4,0.07543520037742223
42,5,0.05047922736156645
42,6,0.02234795328010531
42,7,0.023536616415051004
42,8,0.025240757882780993
42,9,0.018935478808700296
42,10,0.01000128843640633
42,11,0.013528568960673138
42,12,0.010855434698163932
42,13,0.009724311738934056
42,14,0.01177106698171473
42,15,0.008879692798377465
42,16,0.009255635344594346
42,17,0.008551750775366863
42,18,0.007688266495757349
42,19,0.005814559142638177
42,20,0.0077901758094203665
42,21,0.0065305357261057845
42,22,0.005949362394451404
42,23,0.005691275380737748
42,24,0.005484195432746899
42,25,0.004735365199130991
42,26,0.006799332428982551
42,27,0.00653034419820722
42,28,0.005662432530606016
42,29,0.004792703933177147
42,30,0.006926509136676045
42,31,0.005536675693902209
42,32,0.004338006063160252
42,33,0.004453784426335584
42,34,0.004279579357999425
42,35,0.0031220586323004993
42,36,0.004248805921823583
42,37,0.005920420707918956
42,38,0.004386082265871359
42,39,0.0052930337896507475
42,40,0.005477776536767814
42,41,0.0041855894130407275
42,42,0.004909135900942506
42,43,0.004515597723763098
42,44,0.005125972547330985
42,45,0.004856514731179691
42,46,0.005047949443533087
42,47,0.004966174227429584
42,48,0.005581411045399925
42,49,0.004844042218544267
42,50,0.006329523768016999
52,1,0.49279138568038394
52,2,0.3289403136613747
52,3,0.18183796312294753
52,4,0.09133441035707154
52,5,0.049170735619178646
52,6,0.03163151083756471
52,7,0.018905466090416313
52,8,0.014791764604482208
52,9,0.015061589193641608
52,10,0.01399186754901354
52,11,0.009391472643364134
52,12,0.00868280129357774
52,13,0.01125000415572402
52,14,0.009012655683738343
52,15,0.010077816402662459
52,16,0.008305816981715687
52,17,0.007592763604825353
52,18,0.006894765298899907
52,19,0.006478571489041608
52,20,0.008542522373019905
52,21,0.007076799150709056
52,22,0.006973440452593373
52,23,0.0070142773097902275
52,24,0.008660046724061383
52,25,0.005790242089420132
52,26,0.004682603905578401
52,27,0.006473891614685616
52,28,0.0053613898203228455
52,29,0.0063932425369061996
52,30,0.005800342726821674
52,31,0.006862553820983505
52,32,0.006876364974520848
52,33,0.0051048111420377105
52,34,0.006253126188581428
52,35,0.0052979753370132835
52,36,0.005618325720164334
52,37,0.005933270558927361
52,38,0.00441869274267359
52,39,0.004926636491349355
52,40,0.0062973019011225715
52,41,0.00528024279706698
52,42,0.005232750413252071
52,43,0.004098603862160136
52,44,0.0053362505163486096
52,45,0.004245018088482918
52,46,0.005405473525332097
52,47,0.006850175574461726
52,48,0.003824284650491627
52,49,0.005509341568080127
52,50,0.0035653553351945844
62,1,0.4995949557333281
62,2,0.35561847516772155
62,3,0.2094130512864832
62,4,0.11133767119251896
62,5,0.07065696419347842
62,6,0.03522276310266764
62,7,0.027171796523100977
62,8,0.016165447310144465
62,9,0.015201503816002618
62,10,0.011661224585165952
62,11,0.008577921195370734
62,12,0.007676599714938226
62,13,0.009388313295050738
62,14,0.010537202823608318
62,15,0.008417097008297363
62,16,0.007606920591968903
62,17,0.01222456641721003
62,18,0.0066002659016552775
62,19,0.006843827636630246
62,20,0.009112921986669143
62,21,0.0075128873554514905
62,22,0.006343255121652668
62,23,0.0081753749217765
62,24,0.005003031295078429
62,25,0.004981558406376902
62,26,0.004491294269348742
62,27,0.006832280091662458
62,28,0.004493962373225925
62,29,0.006204014253900544
62,30,0.005930241775066457
62,31,0.005604816398146743
62,32,0.0065143744099334065
62,33,0.004501364798967373
62,34,0.0046582817151451916
62,35,0.007081740774851751
62,36,0.0065507188401186635
62,37,0.00404543414174076
62,38,0.005522039179389702
62,39,0.005650249754747711
62,40,0.005218343913834044
62,41,0.005262407753118538
62,42,0.005758226946255262
62,43,0.004651481048295311
62,44,0.0038535724918618668
62,45,0.004541176618632998
62,46,0.005078223083208111
62,47,0.004383991362025659
62,48,0.006473187505767254
62,49,0.004575115313534351
62,50,0.00279281615593376
