epoch,total_loss,delta_loss,similarity_loss
1,0.6546258330345154,0.6546258330345154,0.23366884887218475
25,0.3567226827144623,0.3567226827144623,0.5613805055618286
50,0.29322120547294617,0.29322120547294617,0.4732336401939392
75,0.15020230412483215,0.15020230412483215,0.4555867612361908
100,0.07633551210165024,0.07633551210165024,0.43077006936073303
125,0.0658293068408966,0.0658293068408966,0.42189979553222656
150,0.04826342687010765,0.04826342687010765,0.4179411232471466
175,0.04294535145163536,0.04294535145163536,0.39674195647239685
200,0.039005428552627563,0.039005428552627563,0.39418405294418335
225,0.0395357683300972,0.0395357683300972,0.3846459984779358
250,0.039110854268074036,0.039110854268074036,0.38673222064971924
275,0.03179259970784187,0.03179259970784187,0.4037676453590393
300,0.03536391630768776,0.03536391630768776,0.38970285654067993
325,0.027699582278728485,0.027699582278728485,0.38945329189300537
350,0.02742445096373558,0.02742445096373558,0.36316126585006714
375,0.027494870126247406,0.027494870126247406,0.3642069399356842
400,0.028400421142578125,0.028400421142578125,0.3629056215286255
425,0.030097289010882378,0.030097289010882378,0.3363034129142761
450,0.03080371394753456,0.03080371394753456,0.33876386284828186
475,0.02417697384953499,0.02417697384953499,0.3196996748447418
500,0.02951064147055149,0.02951064147055149,0.3121662139892578
525,0.023016978055238724,0.023016978055238724,0.3201238214969635
550,0.02352180890738964,0.02352180890738964,0.3095833957195282
575,0.02200557291507721,0.02200557291507721,0.29861658811569214
600,0.023715442046523094,0.023715442046523094,0.32124587893486023
