seed,epoch,train_pair_mse
42,1,4.061194483609123
42,2,2.3080953928026076
42,3,0.9502169304990513
42,4,0.6078682824995854
42,5,0.41587032560996195
42,6,0.2549549029897666
42,7,0.14881450495617912
42,8,0.17396614675322106
42,9,0.14356791120480727
42,10,0.07960603052813314
42,11,0.09469482276103926
42,12,0.07386943524613737
42,13,0.13756410543825112
42,14,0.08058489667859307
42,15,0.0878914058899072
42,16,0.07672315259562032
42,17,0.048949153399934955
42,18,0.04993818950658389
42,19,0.05118131019347704
42,20,0.0969305879132633
42,21,0.05443947153986031
42,22,0.04011116706751247
42,23,0.06214562484765435
42,24,0.05088596486896542
42,25,0.05526109306065369
42,26,0.06634854566498449
42,27,0.06293586857364565
42,28,0.07048649672890304
42,29,0.05625774792383911
42,30,0.03703832910553869
42,31,0.05437143602526336
42,32,0.05870501926822883
42,33,0.04051558081718052
42,34,0.0462924627763171
42,35,0.0227361784221973
42,36,0.03986657983930566
42,37,0.05045518648284429
42,38,0.03719059852036563
42,39,0.03976657869769078
42,40,0.06436917082192425
42,41,0.0322389669862448
42,42,0.041027538783835006
42,43,0.06411550277694661
42,44,0.04508060925937326
42,45,0.039019703635955874
42,46,0.04425982097678431
42,47,0.0333329427077596
42,48,0.027213380590692136
42,49,0.03024499024033759
42,50,0.04807395007255456
52,1,4.311650034790583
52,2,3.1782179473768157
52,3,1.39153920063573
52,4,0.6649763273364082
52,5,0.30084797681546677
52,6,0.17930001009806804
52,7,0.1593008685505114
52,8,0.1283406629335009
52,9,0.10725924949063761
52,10,0.11475247567031473
52,11,0.0755320347765869
52,12,0.06770900106339743
52,13,0.08421285256557498
52,14,0.04820713403496938
52,15,0.051815544060844786
52,16,0.0453739336188783
52,17,0.03577696004759607
52,18,0.04969630343922532
52,19,0.05049351409223734
52,20,0.05784008068940644
52,21,0.07900147199790108
52,22,0.036121892365967315
52,23,0.03926176030633709
52,24,0.048972438695490256
52,25,0.04300665308234951
52,26,0.04172659256294662
52,27,0.05995207376871092
52,28,0.047208652956122386
52,29,0.03447340264146128
52,30,0.05356223214543864
52,31,0.04810842490504345
52,32,0.03887271607849156
52,33,0.04491541943049686
52,34,0.041227629411560544
52,35,0.05050361953317163
52,36,0.029271194043962712
52,37,0.056535077392523725
52,38,0.0285472754528497
52,39,0.037047064971052604
52,40,0.027627910176912945
52,41,0.019572421337300232
52,42,0.04156311096062422
52,43,0.041723618101255563
52,44,0.048154886201050615
52,45,0.05591812286253706
52,46,0.03675151453643984
52,47,0.02824742051502175
52,48,0.03158756110438689
52,49,0.03392874839617713
52,50,0.03141933540131319
62,1,4.110849121250146
62,2,3.1005790123115036
62,3,1.412041751352436
62,4,0.7710395899473452
62,5,0.43180608590018943
62,6,0.2645419782920742
62,7,0.1591654921651099
62,8,0.12017177483614754
62,9,0.13852584525385006
62,10,0.0853450066557755
62,11,0.11953233043644942
62,12,0.0709244826021679
62,13,0.07782888199981308
62,14,0.0681835031219876
62,15,0.061815213272597064
62,16,0.04739093937232108
62,17,0.06288815285087482
62,18,0.052177997767500275
62,19,0.07751405021298591
62,20,0.07146933435756254
62,21,0.04857006415379451
62,22,0.059412262809202206
62,23,0.055522311777673305
62,24,0.05531360744872195
62,25,0.052114647738436326
62,26,0.03644339983316666
62,27,0.048584589591903905
62,28,0.0351760150755153
62,29,0.053300732617231616
62,30,0.055113784181960127
62,31,0.0479612935155152
62,32,0.047066845683756145
62,33,0.05132798414923078
62,34,0.04959928960192437
62,35,0.047412574171701215
62,36,0.03872885039730293
62,37,0.029833456810145455
62,38,0.037028690497930464
62,39,0.05223479928073611
62,40,0.03000279545863682
62,41,0.029751329329163634
62,42,0.028058564443134582
62,43,0.026806835802321766
62,44,0.04340875591026908
62,45,0.025099650344109152
62,46,0.02628541062461501
62,47,0.026814886559723958
62,48,0.04562384236119223
62,49,0.02513455758253096
62,50,0.0240295609980556
