model,val_mae,val_rmse,test_mae,test_rmse
ordinary_optical_reservoir,0.3861778208012728,0.4876982377447144,0.3115109105457473,0.3971888214781561
current_ssa_siamese,0.3530485490695159,0.4467909293118404,0.3039294687442239,0.4001418518170804
pair_optimized_siamese,0.30974921890925866,0.4069299371281911,0.31975297930071817,0.422208615773551
