sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,target_gap_months_actual,shape_distance,level_distance,shape_distance_normalized,level_distance_normalized,hybrid_distance,delta_bin,sample_weight,selection_method,search_distance
16,1,2014-11,2015-10,2015-11,2013-08,2014-07,2014-08,100.0,100.2,-0.20000000000000284,1.6336084581645527,15,1.6336084581645527,1.9393966533289246,1.1245700888169856,1.654731222753256,1.389650655785121,small,0.125,all_target_gap_pairs_balanced,1.1463066953083725
16,2,2014-11,2015-10,2015-11,2013-09,2014-08,2014-09,100.0,100.5,-0.5,1.5977006741928712,14,1.5977006741928712,1.5398013397166361,1.0998513016385543,1.313788672004207,1.2068199868213805,small,0.125,all_target_gap_pairs_balanced,1.1086227338235461
16,3,2014-11,2015-10,2015-11,2013-10,2014-09,2014-10,100.0,100.0,0.0,1.0750057809355664,13,1.0750057809355664,1.4756402459844207,0.7400300485122175,1.2590451697389748,0.9995376091255962,medium,0.08333333333333333,all_target_gap_pairs_balanced,0.7613096684825146
16,4,2014-11,2015-10,2015-11,2013-11,2014-10,2014-11,100.0,99.8,0.20000000000000284,0.8439060023271687,12,0.8439060023271687,0.8100602736108121,0.5809418060044446,0.6911592967612061,0.6360505513828254,medium,0.08333333333333333,all_target_gap_pairs_balanced,0.5854607231254718
17,0,2014-12,2015-11,2015-12,2013-07,2014-06,2014-07,100.5,100.1,0.4000000000000057,1.2068462855066417,17,1.2068462855066417,1.5145337128855059,0.8307885697442592,1.2922298377293402,1.0615092037367997,large,0.08333333333333333,all_target_gap_pairs_balanced,0.8497076617316475
17,1,2014-12,2015-11,2015-12,2013-08,2014-07,2014-08,100.5,100.2,0.29999999999999716,1.4965019841318885,16,1.4965019841318885,1.5145337128855059,1.0301864934641964,1.2922298377293402,1.1612081655967683,medium,0.08333333333333333,all_target_gap_pairs_balanced,1.0409302705790673
17,2,2014-12,2015-11,2015-12,2013-09,2014-08,2014-09,100.5,100.5,0.0,1.614264116827138,15,1.614264116827138,1.0495281367063343,1.1112535149787452,0.8954779693906557,1.0033657421847004,medium,0.08333333333333333,all_target_gap_pairs_balanced,1.1024067176096335
17,3,2014-12,2015-11,2015-12,2013-10,2014-09,2014-10,100.5,100.0,0.5,1.5630551312048553,14,1.5630551312048553,0.9105646960917944,1.0760014365375123,0.7769116391810007,0.9264565378592565,large,0.08333333333333333,all_target_gap_pairs_balanced,1.0637387548458954
17,4,2014-12,2015-11,2015-12,2013-11,2014-10,2014-11,100.5,99.8,0.7000000000000028,1.06832947379089,13,1.06832947379089,0.33486606277997855,0.7354341030877589,0.28571428571425095,0.5105741944010049,large,0.08333333333333333,all_target_gap_pairs_balanced,0.716995590575445
17,5,2014-12,2015-11,2015-12,2013-12,2014-11,2014-12,100.5,100.3,0.20000000000000284,0.8623476017007674,12,0.8623476017007674,0.3468798202877734,0.5936369355759432,0.29596465900256813,0.4448007972892557,medium,0.08333333333333333,all_target_gap_pairs_balanced,0.5814323722364348
