sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,target_gap_months_actual,shape_distance,level_distance,shape_distance_normalized,level_distance_normalized,hybrid_distance
16,4,2014-11,2015-10,2015-11,2013-11,2014-10,2014-11,100.0,99.8,0.20000000000000284,0.8439060023271687,12,0.8439060023271687,0.8100602736108121,0.5809418060044446,0.6911592967612061,0.6360505513828254
17,0,2014-12,2015-11,2015-12,2013-07,2014-06,2014-07,100.5,100.1,0.4000000000000057,1.2068462855066417,17,1.2068462855066417,1.5145337128855059,0.8307885697442592,1.2922298377293402,1.0615092037367997
17,1,2014-12,2015-11,2015-12,2013-08,2014-07,2014-08,100.5,100.2,0.29999999999999716,1.4965019841318885,16,1.4965019841318885,1.5145337128855059,1.0301864934641964,1.2922298377293402,1.1612081655967683
17,2,2014-12,2015-11,2015-12,2013-09,2014-08,2014-09,100.5,100.5,0.0,1.614264116827138,15,1.614264116827138,1.0495281367063343,1.1112535149787452,0.8954779693906557,1.0033657421847004
17,3,2014-12,2015-11,2015-12,2013-10,2014-09,2014-10,100.5,100.0,0.5,1.5630551312048553,14,1.5630551312048553,0.9105646960917944,1.0760014365375123,0.7769116391810007,0.9264565378592565
17,4,2014-12,2015-11,2015-12,2013-11,2014-10,2014-11,100.5,99.8,0.7000000000000028,1.06832947379089,13,1.06832947379089,0.33486606277997855,0.7354341030877589,0.28571428571425095,0.5105741944010049
17,5,2014-12,2015-11,2015-12,2013-12,2014-11,2014-12,100.5,100.3,0.20000000000000284,0.8623476017007674,12,0.8623476017007674,0.3468798202877734,0.5936369355759432,0.29596465900256813,0.4448007972892557
18,0,2015-01,2015-12,2016-01,2013-07,2014-06,2014-07,100.5,100.1,0.4000000000000057,1.270090943795505,18,1.270090943795505,1.4846828912337051,0.8743259612370882,1.2667605318360418,1.070543246536565
18,1,2015-01,2015-12,2016-01,2013-08,2014-07,2014-08,100.5,100.2,0.29999999999999716,1.2194972974420841,17,1.2194972974420841,1.3201607246506644,0.8394974800983657,1.1263869958640802,0.9829422379812229
18,2,2015-01,2015-12,2016-01,2013-09,2014-08,2014-09,100.5,100.5,0.0,1.5110203574891254,16,1.5110203574891254,0.8100602736103399,1.0401808885924944,0.6911592967608032,0.8656700926766487
18,3,2015-01,2015-12,2016-01,2013-10,2014-09,2014-10,100.5,100.0,0.5,1.619202916497499,15,1.619202916497499,0.16743303138927546,1.1146533666116065,0.14285714285651643,0.6287552547340615
18,4,2015-01,2015-12,2016-01,2013-11,2014-10,2014-11,100.5,99.8,0.7000000000000028,1.5734633694830165,14,1.5734633694830165,0.7594890952244905,1.0831664297073267,0.6480109765330395,0.8655887031201831
18,5,2015-01,2015-12,2016-01,2013-12,2014-11,2014-12,100.5,100.3,0.20000000000000284,1.1210089110638073,13,1.1210089110638073,1.0763866610562522,0.7716984350681374,0.9183941885986251,0.8450463118333813
18,6,2015-01,2015-12,2016-01,2014-01,2014-12,2015-01,100.5,100.3,0.20000000000000284,0.8605483671873885,12,0.8605483671873885,0.34687982028804903,0.5923983491163785,0.2959646590028033,0.4441815040595909
19,0,2015-02,2016-01,2016-02,2013-07,2014-06,2014-07,101.6,100.1,1.5,1.3827210452987255,19,1.3827210452987255,1.237526406793912,0.9518601112458686,1.0558817768343483,1.0038709440401083
19,1,2015-02,2016-01,2016-02,2013-08,2014-07,2014-08,101.6,100.2,1.3999999999999915,1.2801803409516797,18,1.2801803409516797,1.0344141621712,0.8812714653444661,0.8825824301928046,0.8819269477686353
19,2,2015-02,2016-01,2016-02,2013-09,2014-08,2014-09,101.6,100.5,1.0999999999999943,1.2346676504601,17,1.2346676504601,0.5655013765473421,0.849940695640983,0.4824968542028972,0.66621877492194
19,3,2015-02,2016-01,2016-02,2013-10,2014-09,2014-10,101.6,100.0,1.5999999999999943,1.509172582428004,16,1.509172582428004,0.16743303139041757,1.0389088869973668,0.1428571428574909,0.5908830149274289
19,4,2015-02,2016-01,2016-02,2013-11,2014-10,2014-11,101.6,99.8,1.7999999999999972,1.627346284509284,15,1.627346284509284,0.8300355207862317,1.120259231372231,0.7082025690214964,0.9142309001968637
19,5,2015-02,2016-01,2016-02,2013-12,2014-11,2014-12,101.6,100.3,1.2999999999999972,1.5928188303832402,14,1.5928188303832402,1.1759586744879074,1.096490658211943,1.003350981349067,1.049920819780505
19,6,2015-02,2016-01,2016-02,2014-01,2014-12,2015-01,101.6,100.3,1.2999999999999972,1.1137649606106408,13,1.1137649606106408,0.5870231424115999,0.7667117260658737,0.5008596465090736,0.6337856862874736
19,7,2015-02,2016-01,2016-02,2014-02,2015-01,2015-02,101.6,101.2,0.3999999999999915,0.6823100114296372,12,0.6823100114296372,1.7016679434509,0.4696997167952073,1.4518964297237866,0.960798073259497
20,0,2015-03,2016-02,2016-03,2013-07,2014-06,2014-07,99.6,100.1,-0.5,1.6470979397205803,20,1.6470979397205803,2.5876853803047264,1.1338561985917852,2.2078638663743964,1.6708600324830907
20,1,2015-03,2016-02,2016-03,2013-08,2014-07,2014-08,99.6,100.2,-0.6000000000000085,1.3983711143900683,19,1.3983711143900683,2.2846109060154474,0.9626335615791372,1.9492747868453708,1.455954174212254
20,2,2015-03,2016-02,2016-03,2013-09,2014-08,2014-09,99.6,100.5,-0.9000000000000057,1.38502103698205,18,1.38502103698205,2.15277332211235,0.9534434171100538,1.8367883771971183,1.395115897153586
20,3,2015-03,2016-02,2016-03,2013-10,2014-09,2014-10,99.6,100.0,-0.4000000000000057,1.3070820746828071,17,1.3070820746828071,1.8688692140204535,0.8997905204706471,1.5945558297080822,1.2471731750893646
20,4,2015-03,2016-02,2016-03,2013-11,2014-10,2014-11,99.6,99.8,-0.20000000000000284,1.5375769159333834,16,1.5375769159333834,2.6298083698719514,1.0584623263134323,2.243804026378774,1.6511331763461032
20,5,2015-03,2016-02,2016-03,2013-12,2014-11,2014-12,99.6,100.3,-0.7000000000000028,1.6519045165237018,15,1.6519045165237018,2.9747759827480382,1.137165028486352,2.5381371525522707,1.8376510905193113
20,6,2015-03,2016-02,2016-03,2014-01,2014-12,2015-01,99.6,100.3,-0.7000000000000028,1.5489435337287631,14,1.5489435337287631,2.296298172231289,1.0662870644382954,1.959246591366528,1.5127668279024116
20,7,2015-03,2016-02,2016-03,2014-02,2015-01,2015-02,99.6,101.2,-1.6000000000000085,1.3542537562149264,13,1.3542537562149264,3.064956253498345,0.932263333539835,2.6150807264368265,1.7736720299883308
20,8,2015-03,2016-02,2016-03,2014-03,2015-02,2015-03,99.6,99.5,0.09999999999999432,0.46486600365745634,12,0.46486600365745634,1.3201607246511615,0.320012056994629,1.1263869958645043,0.7231995264295666
21,0,2015-04,2016-03,2016-04,2013-07,2014-06,2014-07,99.8,100.1,-0.29999999999999716,1.6808792456920756,21,1.6808792456920756,0.4556934571347115,1.1571111260909983,0.3888065859198384,0.7729588560054184
21,1,2015-04,2016-03,2016-04,2013-08,2014-07,2014-08,99.8,100.2,-0.4000000000000057,1.6536294215170426,20,1.6536294215170426,0.7594890952244905,1.1383524467761308,0.6480109765330395,0.8931817116545852
21,2,2015-04,2016-03,2016-04,2013-09,2014-08,2014-09,99.8,100.5,-0.7000000000000028,1.3381821506385072,19,1.3381821506385072,1.0406394608630447,0.9211996990317156,0.8878939770074692,0.9045468380195925
21,3,2015-04,2016-03,2016-04,2013-10,2014-09,2014-10,99.8,100.0,-0.20000000000000284,1.3064956085473325,18,1.3064956085473325,1.696504129642551,0.8993867993275771,1.447490562609139,1.1734386809683581
21,4,2015-04,2016-03,2016-04,2013-11,2014-10,2014-11,99.8,99.8,0.0,1.287849005991176,17,1.287849005991176,1.320160724650918,0.886550546314862,1.1263869958642965,1.0064687710895792
21,5,2015-04,2016-03,2016-04,2013-12,2014-11,2014-12,99.8,100.3,-0.5,1.5284069969915826,16,1.5284069969915826,1.3734832615470263,1.0521497876464792,1.1718828290797199,1.1120163083630996
21,6,2015-04,2016-03,2016-04,2014-01,2014-12,2015-01,99.8,100.3,-0.5,1.6520976128096274,15,1.6520976128096274,1.7101868038689443,1.137297955263468,1.459164888340449,1.2982314218019586
21,7,2015-04,2016-03,2016-04,2014-02,2015-01,2015-02,99.8,101.2,-1.4000000000000057,1.4104090737379436,14,1.4104090737379436,2.727303416233554,0.9709204487737746,2.32698871013153,1.6489545794526523
21,8,2015-04,2016-03,2016-04,2014-03,2015-02,2015-03,99.8,99.5,0.29999999999999716,1.4723784061190437,13,1.4723784061190437,2.775038562301617,1.0135799105753145,2.3677172720200583,1.6906485912976863
21,9,2015-04,2016-03,2016-04,2014-04,2015-03,2015-04,99.8,99.8,0.0,0.4789963167959578,12,0.4789963167959578,1.348049489988712,0.329739312887409,1.1501822368683863,0.7399607748778976
22,0,2015-05,2016-04,2016-05,2013-07,2014-06,2014-07,99.5,100.1,-0.5999999999999943,1.6165819591094162,22,1.6165819591094162,0.15189781904491104,1.112849109129974,0.12960219530661896,0.6212256522182964
22,1,2015-05,2016-04,2016-05,2013-08,2014-07,2014-08,99.5,100.2,-0.7000000000000028,1.6808792456920758,21,1.6808792456920758,0.45569345713468995,1.1571111260909985,0.38880658591982004,0.7729588560054093
22,2,2015-05,2016-04,2016-05,2013-09,2014-08,2014-09,99.5,100.5,-1.0,1.6305852754690309,20,1.6305852754690309,0.7883346617355282,1.1224889409045704,0.6726225790445164,0.8975557599745434
22,3,2015-05,2016-04,2016-05,2013-10,2014-09,2014-10,99.5,100.0,-0.5,1.2936139878096298,19,1.2936139878096298,1.4628027700670028,0.8905191387172856,1.2480919837646502,1.0693055612409679
22,4,2015-05,2016-04,2016-05,2013-11,2014-10,2014-11,99.5,99.8,-0.29999999999999716,1.2942993907343332,18,1.2942993907343332,1.2107637960165225,0.8909909675842682,1.0330473929656716,0.9620191802749699
22,5,2015-05,2016-04,2016-05,2013-12,2014-11,2014-12,99.5,100.3,-0.7999999999999972,1.2771800331448826,17,1.2771800331448826,1.3394642511199142,0.8792060644218,1.1428571428570038,1.011031603639402
22,6,2015-05,2016-04,2016-05,2014-01,2014-12,2015-01,99.5,100.3,-0.7999999999999972,1.5284069969915826,16,1.5284069969915826,1.5398013397168846,1.0521497876464792,1.3137886720044187,1.1829692298254488
22,7,2015-05,2016-04,2016-05,2014-02,2015-01,2015-02,99.5,101.2,-1.7000000000000028,1.6295769168034313,15,1.6295769168034313,2.6238203417662427,1.1217947904865402,2.2386949234769866,1.6802448569817634
22,8,2015-05,2016-04,2016-05,2014-03,2015-02,2015-03,99.5,99.5,0.0,1.4852800564165511,14,1.4852800564165511,2.513257284168489,1.0224613594613314,2.14436035649914,1.5834108579802355
22,9,2015-05,2016-04,2016-05,2014-04,2015-03,2015-04,99.5,99.8,-0.29999999999999716,1.4723784061190437,13,1.4723784061190437,1.4148572390543024,1.0135799105753145,1.207183917319336,1.1103819139473252
22,10,2015-05,2016-04,2016-05,2014-05,2015-04,2015-05,99.5,99.8,-0.29999999999999716,0.47649466226601656,12,0.47649466226601656,1.1720312197300675,0.32801718305705396,1.0,0.664008591528527
23,0,2015-06,2016-05,2016-06,2013-07,2014-06,2014-07,99.9,100.1,-0.19999999999998863,1.3434929974129466,23,1.3434929974129466,0.7883346617355282,0.9248556665305219,0.6726225790445164,0.7987391227875191
23,1,2015-06,2016-05,2016-06,2013-08,2014-07,2014-08,99.9,100.2,-0.29999999999999716,1.6010652951311894,22,1.6010652951311894,1.0406394608631635,1.1021674943887383,0.8878939770075706,0.9950307356981545
23,2,2015-06,2016-05,2016-06,2013-09,2014-08,2014-09,99.9,100.5,-0.5999999999999943,1.6500679544014814,21,1.6500679544014814,1.063284733314291,1.1359007458373602,0.907215367146259,1.0215580564918096
23,3,2015-06,2016-05,2016-06,2013-10,2014-09,2014-10,99.9,100.0,-0.09999999999999432,1.6330851175315222,20,1.6330851175315222,1.5998747210527997,1.1242098230389608,1.3650444579635597,1.2446271405012603
23,4,2015-06,2016-05,2016-06,2013-11,2014-10,2014-11,99.9,99.8,0.10000000000000853,1.274611515888848,19,1.274611515888848,1.0126029852671643,0.8774379065353062,0.8639727067171288,0.8707053066262175
23,5,2015-06,2016-05,2016-06,2013-12,2014-11,2014-12,99.9,100.3,-0.3999999999999915,1.2592199781248903,18,1.2592199781248903,0.9531537267860598,0.8668424282224114,0.8132494346060015,0.8400459314142065
23,6,2015-06,2016-05,2016-06,2014-01,2014-12,2015-01,99.9,100.3,-0.3999999999999915,1.2989502157028967,17,1.2989502157028967,1.4756402459845825,0.8941925784854791,1.259045169739113,1.076618874112296
23,7,2015-06,2016-05,2016-06,2014-02,2015-01,2015-02,99.9,101.2,-1.2999999999999972,1.4840687777724582,16,1.4840687777724582,2.348092569645167,1.0216275196721447,2.003438586035242,1.5125330528536933
23,8,2015-06,2016-05,2016-06,2014-03,2015-02,2015-03,99.9,99.5,0.4000000000000057,1.6973200715940786,15,1.6973200715940786,2.714576819221314,1.168428930521084,2.3161301282115274,1.7422795293663058
23,9,2015-06,2016-05,2016-06,2014-04,2015-03,2015-04,99.9,99.8,0.10000000000000853,1.434657108811563,14,1.434657108811563,0.8371651569500891,0.987612707448179,0.7142857142857492,0.8509492108669641
23,10,2015-06,2016-05,2016-06,2014-05,2015-04,2015-05,99.9,99.8,0.10000000000000853,1.4549333780771008,13,1.4549333780771008,0.8100602736108121,1.001570817064263,0.6911592967612061,0.8463650569127346
23,11,2015-06,2016-05,2016-06,2014-06,2015-05,2015-06,99.9,100.0,-0.09999999999999432,0.44317586848065743,12,0.44317586848065743,1.2575029649656162,0.30508064725546113,1.0729261676623545,0.6890034074589078
24,0,2015-07,2016-06,2016-07,2013-07,2014-06,2014-07,100.2,100.1,0.10000000000000853,0.9226840677060826,24,0.9226840677060826,0.6697321255599571,0.6351723381354625,0.5714285714285019,0.6033004547819822
24,1,2015-07,2016-06,2016-07,2013-08,2014-07,2014-08,100.2,100.2,0.0,1.3412626627695865,23,1.3412626627695865,0.7354134277598106,0.9233203123179261,0.627469145343402,0.7753947288306641
24,2,2015-07,2016-06,2016-07,2013-09,2014-08,2014-09,100.2,100.5,-0.29999999999999716,1.5926192601903852,22,1.5926192601903852,0.4854795020139973,1.0963532748209703,0.41422062300167134,0.7552869489113209
24,3,2015-07,2016-06,2016-07,2013-10,2014-09,2014-10,100.2,100.0,0.20000000000000284,1.661965348193503,21,1.661965348193503,0.9709590040281916,1.1440908682173687,0.8284412460035107,0.9862660571104397
24,4,2015-07,2016-06,2016-07,2013-11,2014-10,2014-11,100.2,99.8,0.4000000000000057,1.6230494748511943,20,1.6230494748511943,0.5247640683533007,1.1173013233161864,0.4477389846954418,0.7825201540058141
24,5,2015-07,2016-06,2016-07,2013-12,2014-11,2014-12,100.2,100.3,-0.09999999999999432,1.2622781465594843,19,1.2622781465594843,0.6867416307736547,0.8689476601896681,0.5859414145399807,0.7274445373648244
24,6,2015-07,2016-06,2016-07,2014-01,2014-12,2015-01,100.2,100.3,-0.09999999999999432,1.2653523523513477,18,1.2653523523513477,0.9042722371592365,0.8710639322150233,0.7715427899331052,0.8213033610740643
24,7,2015-07,2016-06,2016-07,2014-02,2015-01,2015-02,100.2,101.2,-1.0,1.2208903684981294,17,1.2208903684981294,1.939396653329196,0.8404564651191615,1.6547312227534874,1.2475938439363246
24,8,2015-07,2016-06,2016-07,2014-03,2015-02,2015-03,100.2,99.5,0.7000000000000028,1.519447785569356,16,1.519447785569356,2.085154487269049,1.045982299265485,1.7790946624692168,1.412538480867351
24,9,2015-07,2016-06,2016-07,2014-04,2015-03,2015-04,100.2,99.8,0.4000000000000057,1.6821680140907467,15,1.6821680140907467,0.9042722371592512,1.1579983095438722,0.7715427899331178,0.964770549738495
24,10,2015-07,2016-06,2016-07,2014-05,2015-04,2015-05,100.2,99.8,0.4000000000000057,1.4306267061953633,14,1.4306267061953633,0.5247640683533069,0.9848381930255735,0.4477389846954471,0.7162885888605103
24,11,2015-07,2016-06,2016-07,2014-06,2015-05,2015-06,100.2,100.0,0.20000000000000284,1.4327203833220947,13,1.4327203833220947,1.0160169621847142,0.9862794727034516,0.8668855787124125,0.9265825257079321
24,12,2015-07,2016-06,2016-07,2014-07,2015-06,2015-07,100.2,100.3,-0.09999999999999432,0.44332360958130973,12,0.44332360958130973,0.8508339717253074,0.3051823516888902,0.7259482148617716,0.5155652832753309
25,0,2015-08,2016-07,2016-08,2013-07,2014-06,2014-07,100.1,100.1,0.0,1.066031594122551,25,1.066031594122551,0.9531537267860598,0.7338522511269666,0.8132494346060015,0.7735508428664841
25,1,2015-08,2016-07,2016-08,2013-08,2014-07,2014-08,100.1,100.2,-0.10000000000000853,0.9172611446877315,24,0.9172611446877315,0.8508339717250304,0.6314392177601881,0.7259482148615354,0.6786937163108617
25,2,2015-08,2016-07,2016-08,2013-09,2014-08,2014-09,100.1,100.5,-0.4000000000000057,1.3509448357251974,23,1.3509448357251974,0.334866062779693,0.9299854847747744,0.2857142857140073,0.6078498852443909
25,3,2015-08,2016-07,2016-08,2013-10,2014-09,2014-10,100.1,100.0,0.09999999999999432,1.6249997731133574,22,1.6249997731133574,0.4854795020141942,1.1186439015080039,0.4142206230018393,0.7664322622549216
25,4,2015-08,2016-07,2016-08,2013-11,2014-10,2014-11,100.1,99.8,0.29999999999999716,1.6610734759227272,21,1.6610734759227272,0.45213611857973124,1.1434769066075674,0.385771394966649,0.7646241507871082
25,5,2015-08,2016-07,2016-08,2013-12,2014-11,2014-12,100.1,100.3,-0.20000000000000284,1.6155988510506214,20,1.6155988510506214,0.7883346617355282,1.1121723411373317,0.6726225790445164,0.892397460090924
25,6,2015-08,2016-07,2016-08,2014-01,2014-12,2015-01,100.1,100.3,-0.20000000000000284,1.267021525917591,19,1.267021525917591,0.5247640683535739,0.8722129851941871,0.4477389846956749,0.659975984944931
25,7,2015-08,2016-07,2016-08,2014-02,2015-01,2015-02,100.1,101.2,-1.1000000000000085,1.2625470658577007,18,1.2625470658577007,1.681206396453636,0.8691327832511754,1.434438236927543,1.1517855100893593
25,8,2015-08,2016-07,2016-08,2014-03,2015-02,2015-03,100.1,99.5,0.5999999999999943,1.2833595664790263,17,1.2833595664790263,1.5998747210528894,0.8834600325716917,1.3650444579636363,1.124252245267664
25,9,2015-08,2016-07,2016-08,2014-04,2015-03,2015-04,100.1,99.8,0.29999999999999716,1.504504005832896,16,1.504504005832896,1.1759586744880295,1.0356950559413571,1.0033509813491712,1.0195230186452642
25,10,2015-08,2016-07,2016-08,2014-05,2015-04,2015-05,100.1,99.8,0.29999999999999716,1.6769995866615495,15,1.6769995866615495,0.6937596405755468,1.154440383001531,0.5919293180051363,0.8731848505033337
25,11,2015-08,2016-07,2016-08,2014-06,2015-05,2015-06,100.1,100.0,0.09999999999999432,1.4323459534028438,14,1.4323459534028438,1.034414162171662,0.9860217165162556,0.8825824301931988,0.9343020733547271
25,12,2015-08,2016-07,2016-08,2014-07,2015-06,2015-07,100.1,100.3,-0.20000000000000284,1.426354352646757,13,1.426354352646757,0.7354134277600795,0.9818971204658661,0.6274691453436315,0.8046831329047488
25,13,2015-08,2016-07,2016-08,2014-08,2015-07,2015-08,100.1,100.5,-0.4000000000000057,0.4423907371462172,12,0.4423907371462172,0.36770671388042536,0.3045401657159027,0.3137345726721448,0.30913736919402374
26,0,2015-09,2016-08,2016-09,2013-07,2014-06,2014-07,100.7,100.1,0.6000000000000085,1.4575819184501935,26,1.4575819184501935,1.537215407728988,1.003394062571911,1.3115823041668007,1.157488183369356
26,1,2015-09,2016-08,2016-09,2013-08,2014-07,2014-08,100.7,100.2,0.5,1.0447745021232115,25,1.0447745021232115,1.5068972825103317,0.7192189467276084,1.2857142857144948,1.0024666162210516
26,2,2015-09,2016-08,2016-09,2013-09,2014-08,2014-09,100.7,100.5,0.20000000000000284,0.9364959309538083,24,0.9364959309538083,1.0160169621847142,0.6446803742879409,0.8668855787124125,0.7557829765001767
26,3,2015-09,2016-08,2016-09,2013-10,2014-09,2014-10,100.7,100.0,0.7000000000000028,1.415644994249231,23,1.415644994249231,0.7883346617355282,0.9745248373070178,0.6726225790445164,0.823573708175767
26,4,2015-09,2016-08,2016-09,2013-11,2014-10,2014-11,100.7,99.8,0.9000000000000057,1.6218813164382202,22,1.6218813164382202,0.3677067138801653,1.1164971673364195,0.3137345726719229,0.7151158700041712
26,5,2015-09,2016-08,2016-09,2013-12,2014-11,2014-12,100.7,100.3,0.4000000000000057,1.6376663571149792,21,1.6376663571149792,0.4854795020141942,1.1273635316155242,0.4142206230018393,0.7707920773086817
26,6,2015-09,2016-08,2016-09,2014-01,2014-12,2015-01,100.7,100.3,0.4000000000000057,1.6352435394475666,20,1.6352435394475666,0.3468798202877734,1.1256956727930432,0.29596465900256813,0.7108301658978057
26,7,2015-09,2016-08,2016-09,2014-02,2015-01,2015-02,100.7,101.2,-0.5,1.3473856852447461,19,1.3473856852447461,1.0495281367063343,0.927535378599142,0.8954779693906557,0.9115066739948989
26,8,2015-09,2016-08,2016-09,2014-03,2015-02,2015-03,100.7,99.5,1.2000000000000028,1.3582848908617167,18,1.3582848908617167,1.6792440141631357,0.9350383518896223,1.4327638939088032,1.1839011228992127
26,9,2015-09,2016-08,2016-09,2014-04,2015-03,2015-04,100.7,99.8,0.9000000000000057,1.2056494102863151,17,1.2056494102863151,0.9266390491998224,0.8299646452193227,0.7906265921937116,0.8102956187065171
26,10,2015-09,2016-08,2016-09,2014-05,2015-04,2015-05,100.7,99.8,0.9000000000000057,1.4645235602444986,16,1.4645235602444986,0.5655013765476803,1.0081726633988977,0.4824968542031857,0.7453347588010417
26,11,2015-09,2016-08,2016-09,2014-06,2015-05,2015-06,100.7,100.0,0.7000000000000028,1.6697839278477646,15,1.6697839278477646,0.4854795020139973,1.1494731498603608,0.41422062300167134,0.7818468864310161
26,12,2015-09,2016-08,2016-09,2014-07,2015-06,2015-07,100.7,100.3,0.4000000000000057,1.4109432903499548,14,1.4109432903499548,0.15189781904488944,0.9712882015359585,0.12960219530660053,0.5504451984212795
26,13,2015-09,2016-08,2016-09,2014-08,2015-07,2015-08,100.7,100.5,0.20000000000000284,1.425207133497236,13,1.425207133497236,0.45213611857951985,0.9811073789984897,0.3857713949664686,0.6834393869824791
26,14,2015-09,2016-08,2016-09,2014-09,2015-08,2015-09,100.7,100.1,0.6000000000000085,0.4836456502256755,12,0.4836456502256755,1.034414162171662,0.33293989701873256,0.8825824301931988,0.6077611636059657
27,0,2015-10,2016-09,2016-10,2013-07,2014-06,2014-07,99.9,100.1,-0.19999999999998863,1.6007410533869486,27,1.6007410533869486,1.314904184935921,1.1019442875576908,1.1219020131893405,1.1119231503735156
27,1,2015-10,2016-09,2016-10,2013-08,2014-07,2014-08,99.9,100.2,-0.29999999999999716,1.4702659375091092,26,1.4702659375091092,1.0406394608630447,1.012125694909116,0.8878939770074692,0.9500098359582926
27,2,2015-10,2016-09,2016-10,2013-09,2014-08,2014-09,99.9,100.5,-0.5999999999999943,1.0447828610026282,25,1.0447828610026282,0.7594890952244905,0.7192247009496321,0.6480109765330395,0.6836178387413359
27,3,2015-10,2016-09,2016-10,2013-10,2014-09,2014-10,99.9,100.0,-0.09999999999999432,0.8165964169281188,24,0.8165964169281188,0.5870231424115999,0.5621419872814988,0.5008596465090736,0.5315008168952862
27,4,2015-10,2016-09,2016-10,2013-11,2014-10,2014-11,99.9,99.8,0.10000000000000853,1.4379323489175242,23,1.4379323489175242,1.2566286420843207,0.9898673707602165,1.0721801782496347,1.0310237745049255
27,5,2015-10,2016-09,2016-10,2013-12,2014-11,2014-12,99.9,100.3,-0.3999999999999915,1.6570013010960347,22,1.6570013010960347,1.603045302506955,1.1406736363480112,1.3677496601806862,1.2542116482643486
27,6,2015-10,2016-09,2016-10,2014-01,2014-12,2015-01,99.9,100.3,-0.3999999999999915,1.60569665629424,21,1.60569665629424,1.034414162171662,1.1053557064774093,0.8825824301931988,0.9939690683353041
27,7,2015-10,2016-09,2016-10,2014-02,2015-01,2015-02,99.9,101.2,-1.2999999999999972,1.6419066452803992,20,1.6419066452803992,2.099056273413215,1.1302825304827029,1.790955938781778,1.4606192346322404
27,8,2015-10,2016-09,2016-10,2014-03,2015-02,2015-03,99.9,99.5,0.4000000000000057,1.1971618088864477,19,1.1971618088864477,1.1303402964491094,0.824121811453136,0.9644284874164358,0.8942751494347859
27,9,2015-10,2016-09,2016-10,2014-04,2015-03,2015-04,99.9,99.8,0.10000000000000853,1.4561750463836916,18,1.4561750463836916,2.005828988228476,1.0024255769859844,1.7114125924823418,1.3569190847341632
