model,accessible_train_windows,direct_supervised_targets,siamese_pair_targets,num_train_pairs,alpha,val_mae,val_rmse,test_mae,test_rmse
ordinary_optical_reservoir_closed50,50,50,0,0,1.0,0.5820563557343796,0.7815844499356535,0.9102614465519318,0.988835844757494
siamese_optical_reservoir_closed50,50,0,27,118,1.0,0.5163371469757133,0.6967380644573966,0.7999780637615053,0.8863711431351415
