pair_id,sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,delta_bin,selection_method,similar_label
717,169,67,2014-02,2015-01,2015-02,2005-08,2006-07,2006-08,101.4,101.3,0.1,1.223828,medium,delta_stratified_train_only,0
718,169,50,2014-02,2015-01,2015-02,2004-03,2005-02,2005-03,101.4,102.9,-1.5,0.670297,small,delta_stratified_train_only,0
719,169,81,2014-02,2015-01,2015-02,2006-10,2007-09,2007-10,101.4,106.5,-5.1,1.905812,small,delta_stratified_train_only,0
720,170,100,2014-03,2015-02,2015-03,2008-05,2009-04,2009-05,101.4,98.63,2.77,0.573374,large,delta_stratified_train_only,0
721,170,18,2014-03,2015-02,2015-03,2001-07,2002-06,2002-07,101.4,99.0,2.4,0.73049,large,delta_stratified_train_only,0
722,170,33,2014-03,2015-02,2015-03,2002-10,2003-09,2003-10,101.4,102.0,-0.6,1.817593,medium,delta_stratified_train_only,0
723,170,24,2014-03,2015-02,2015-03,2002-01,2002-12,2003-01,101.4,100.1,1.3,1.756874,medium,delta_stratified_train_only,0
724,170,113,2014-03,2015-02,2015-03,2009-06,2010-05,2010-06,101.4,102.95,-1.55,1.923024,small,delta_stratified_train_only,0
725,170,121,2014-03,2015-02,2015-03,2010-02,2011-01,2011-02,101.4,104.94,-3.54,1.882017,small,delta_stratified_train_only,0
726,171,13,2014-04,2015-03,2015-04,2001-02,2002-01,2002-02,101.5,99.2,2.3,0.617038,large,delta_stratified_train_only,0
727,171,100,2014-04,2015-03,2015-04,2008-05,2009-04,2009-05,101.5,98.63,2.87,0.569801,large,delta_stratified_train_only,0
728,171,8,2014-04,2015-03,2015-04,2000-09,2001-08,2001-09,101.5,100.0,1.5,1.694979,medium,delta_stratified_train_only,0
729,171,96,2014-04,2015-03,2015-04,2008-01,2008-12,2009-01,101.5,100.95,0.55,0.639475,medium,delta_stratified_train_only,0
730,171,128,2014-04,2015-03,2015-04,2010-09,2011-08,2011-09,101.5,106.07,-4.57,1.84392,small,delta_stratified_train_only,0
731,171,76,2014-04,2015-03,2015-04,2006-05,2007-04,2007-05,101.5,103.4,-1.9,1.878553,small,delta_stratified_train_only,0
732,172,22,2014-05,2015-04,2015-05,2001-11,2002-10,2002-11,101.2,99.5,1.7,0.699515,large,delta_stratified_train_only,0
733,172,12,2014-05,2015-04,2015-05,2001-01,2001-12,2002-01,101.2,99.3,1.9,1.119785,large,delta_stratified_train_only,0
734,172,57,2014-05,2015-04,2015-05,2004-10,2005-09,2005-10,101.2,101.0,0.2,0.678668,medium,delta_stratified_train_only,0
735,172,2,2014-05,2015-04,2015-05,2000-03,2001-02,2001-03,101.2,100.7,0.5,1.911058,medium,delta_stratified_train_only,0
736,172,42,2014-05,2015-04,2015-05,2003-07,2004-06,2004-07,101.2,105.1,-3.9,1.880405,small,delta_stratified_train_only,0
737,172,89,2014-05,2015-04,2015-05,2007-06,2008-05,2008-06,101.2,107.08,-5.88,1.928057,small,delta_stratified_train_only,0
738,173,12,2014-06,2015-05,2015-06,2001-01,2001-12,2002-01,101.4,99.3,2.1,1.213251,large,delta_stratified_train_only,0
739,173,104,2014-06,2015-05,2015-06,2008-09,2009-08,2009-09,101.4,99.21,2.19,0.471919,large,delta_stratified_train_only,0
740,173,31,2014-06,2015-05,2015-06,2002-08,2003-07,2003-08,101.4,100.9,0.5,1.943885,medium,delta_stratified_train_only,0
741,173,59,2014-06,2015-05,2015-06,2004-12,2005-11,2005-12,101.4,101.4,0.0,0.722969,medium,delta_stratified_train_only,0
742,173,40,2014-06,2015-05,2015-06,2003-05,2004-04,2004-05,101.4,104.4,-3.0,1.909361,small,delta_stratified_train_only,0
743,173,91,2014-06,2015-05,2015-06,2007-08,2008-07,2008-08,101.4,104.9,-3.5,1.775353,small,delta_stratified_train_only,0
744,174,21,2014-07,2015-06,2015-07,2001-10,2002-09,2002-10,101.6,99.1,2.5,0.474495,large,delta_stratified_train_only,0
745,174,23,2014-07,2015-06,2015-07,2001-12,2002-11,2002-12,101.6,99.8,1.8,1.086974,large,delta_stratified_train_only,0
746,174,146,2014-07,2015-06,2015-07,2012-03,2013-02,2013-03,101.6,102.1,-0.5,0.729429,medium,delta_stratified_train_only,0
747,174,148,2014-07,2015-06,2015-07,2012-05,2013-04,2013-05,101.6,102.1,-0.5,1.115768,medium,delta_stratified_train_only,0
748,174,135,2014-07,2015-06,2015-07,2011-04,2012-03,2012-04,101.6,103.37,-1.77,1.217401,small,delta_stratified_train_only,0
749,174,111,2014-07,2015-06,2015-07,2009-04,2010-03,2010-04,101.6,102.81,-1.21,1.694819,small,delta_stratified_train_only,0
750,175,103,2014-08,2015-07,2015-08,2008-08,2009-07,2009-08,102.0,98.8,3.2,1.06687,large,delta_stratified_train_only,0
751,175,22,2014-08,2015-07,2015-08,2001-11,2002-10,2002-11,102.0,99.5,2.5,0.669551,large,delta_stratified_train_only,0
752,175,142,2014-08,2015-07,2015-08,2011-11,2012-10,2012-11,102.0,102.0,0.0,1.187223,medium,delta_stratified_train_only,0
753,175,110,2014-08,2015-07,2015-08,2009-03,2010-02,2010-03,102.0,102.37,-0.37,1.463771,medium,delta_stratified_train_only,0
754,175,90,2014-08,2015-07,2015-08,2007-07,2008-06,2008-07,102.0,106.3,-4.3,1.638386,small,delta_stratified_train_only,0
755,175,44,2014-08,2015-07,2015-08,2003-09,2004-08,2004-09,102.0,104.2,-2.2,1.607293,small,delta_stratified_train_only,0
756,176,105,2014-09,2015-08,2015-09,2008-10,2009-09,2009-10,101.6,99.47,2.13,1.159069,large,delta_stratified_train_only,0
757,176,101,2014-09,2015-08,2015-09,2008-06,2009-05,2009-06,101.6,98.3,3.3,1.501301,large,delta_stratified_train_only,0
758,176,54,2014-09,2015-08,2015-09,2004-07,2005-06,2005-07,101.6,101.4,0.2,1.495757,medium,delta_stratified_train_only,0
759,176,146,2014-09,2015-08,2015-09,2012-03,2013-02,2013-03,101.6,102.1,-0.5,0.943664,medium,delta_stratified_train_only,0
760,176,84,2014-09,2015-08,2015-09,2007-01,2007-12,2008-01,101.6,107.08,-5.48,1.268498,small,delta_stratified_train_only,0
761,176,115,2014-09,2015-08,2015-09,2009-08,2010-07,2010-08,101.6,103.48,-1.88,1.43423,small,delta_stratified_train_only,0
762,177,103,2014-10,2015-09,2015-10,2008-08,2009-07,2009-08,101.3,98.8,2.5,1.585989,large,delta_stratified_train_only,0
763,177,104,2014-10,2015-09,2015-10,2008-09,2009-08,2009-09,101.3,99.21,2.09,1.524633,large,delta_stratified_train_only,0
764,177,61,2014-10,2015-09,2015-10,2005-02,2006-01,2006-02,101.3,100.9,0.4,1.370243,medium,delta_stratified_train_only,0
765,177,29,2014-10,2015-09,2015-10,2002-06,2003-05,2003-06,101.3,100.4,0.9,1.036287,medium,delta_stratified_train_only,0
766,177,86,2014-10,2015-09,2015-10,2007-03,2008-02,2008-03,101.3,108.31,-7.01,1.195512,small,delta_stratified_train_only,0
767,177,41,2014-10,2015-09,2015-10,2003-06,2004-05,2004-06,101.3,104.7,-3.4,1.136261,small,delta_stratified_train_only,0
768,178,11,2014-11,2015-10,2015-11,2000-12,2001-11,2001-12,101.5,99.3,2.2,1.595063,large,delta_stratified_train_only,0
769,178,105,2014-11,2015-10,2015-11,2008-10,2009-09,2009-10,101.5,99.47,2.03,1.619164,large,delta_stratified_train_only,0
770,178,4,2014-11,2015-10,2015-11,2000-05,2001-04,2001-05,101.5,101.4,0.1,1.34403,medium,delta_stratified_train_only,0
771,178,61,2014-11,2015-10,2015-11,2005-02,2006-01,2006-02,101.5,100.9,0.6,1.599522,medium,delta_stratified_train_only,0
772,178,114,2014-11,2015-10,2015-11,2009-07,2010-06,2010-07,101.5,103.3,-1.8,1.068144,small,delta_stratified_train_only,0
773,178,150,2014-11,2015-10,2015-11,2012-07,2013-06,2013-07,101.5,102.7,-1.2,1.267298,small,delta_stratified_train_only,0
774,179,10,2014-12,2015-11,2015-12,2000-11,2001-10,2001-11,101.6,99.5,2.1,1.454703,large,delta_stratified_train_only,0
775,179,102,2014-12,2015-11,2015-12,2008-07,2009-06,2009-07,101.6,98.19,3.41,1.710983,large,delta_stratified_train_only,0
776,179,29,2014-12,2015-11,2015-12,2002-06,2003-05,2003-06,101.6,100.4,1.2,1.043343,medium,delta_stratified_train_only,0
777,179,141,2014-12,2015-11,2015-12,2011-10,2012-09,2012-10,101.6,101.7,-0.1,1.673298,medium,delta_stratified_train_only,0
778,179,88,2014-12,2015-11,2015-12,2007-05,2008-04,2008-05,101.6,107.72,-6.12,1.140014,small,delta_stratified_train_only,0
779,179,113,2014-12,2015-11,2015-12,2009-06,2010-05,2010-06,101.6,102.95,-1.35,0.999677,small,delta_stratified_train_only,0
780,180,97,2015-01,2015-12,2016-01,2008-02,2009-01,2009-02,101.8,98.44,3.36,1.702663,large,delta_stratified_train_only,0
781,180,18,2015-01,2015-12,2016-01,2001-07,2002-06,2002-07,101.8,99.0,2.8,1.77843,large,delta_stratified_train_only,0
782,180,146,2015-01,2015-12,2016-01,2012-03,2013-02,2013-03,101.8,102.1,-0.3,1.751745,medium,delta_stratified_train_only,0
783,180,63,2015-01,2015-12,2016-01,2005-04,2006-03,2006-04,101.8,101.2,0.6,1.769282,medium,delta_stratified_train_only,0
784,180,113,2015-01,2015-12,2016-01,2009-06,2010-05,2010-06,101.8,102.95,-1.15,0.956549,small,delta_stratified_train_only,0
785,180,133,2015-01,2015-12,2016-01,2011-02,2012-01,2012-02,101.8,103.16,-1.36,1.268511,small,delta_stratified_train_only,0
786,181,101,2015-02,2016-01,2016-02,2008-06,2009-05,2009-06,102.3,98.3,4.0,1.675772,large,delta_stratified_train_only,0
787,181,26,2015-02,2016-01,2016-02,2002-03,2003-02,2003-03,102.3,100.6,1.7,1.164348,large,delta_stratified_train_only,0
788,181,49,2015-02,2016-01,2016-02,2004-02,2005-01,2005-02,102.3,102.7,-0.4,1.324214,medium,delta_stratified_train_only,1
789,181,57,2015-02,2016-01,2016-02,2004-10,2005-09,2005-10,102.3,101.0,1.3,1.668087,medium,delta_stratified_train_only,0
790,181,83,2015-02,2016-01,2016-02,2006-12,2007-11,2007-12,102.3,106.5,-4.2,1.157963,small,delta_stratified_train_only,0
791,181,117,2015-02,2016-01,2016-02,2009-10,2010-09,2010-10,102.3,104.37,-2.07,1.045835,small,delta_stratified_train_only,0
792,182,27,2015-03,2016-02,2016-03,2002-04,2003-03,2003-04,102.3,100.6,1.7,0.897085,large,delta_stratified_train_only,1
793,182,15,2015-03,2016-02,2016-03,2001-04,2002-03,2002-04,102.3,98.8,3.5,1.756409,large,delta_stratified_train_only,0
794,182,33,2015-03,2016-02,2016-03,2002-10,2003-09,2003-10,102.3,102.0,0.3,0.691214,medium,delta_stratified_train_only,1
795,182,6,2015-03,2016-02,2016-03,2000-07,2001-06,2001-07,102.3,100.8,1.5,0.846451,medium,delta_stratified_train_only,0
796,182,93,2015-03,2016-02,2016-03,2007-10,2008-09,2008-10,102.3,103.97,-1.67,1.635855,small,delta_stratified_train_only,0
797,182,85,2015-03,2016-02,2016-03,2007-02,2008-01,2008-02,102.3,108.74,-6.44,0.929676,small,delta_stratified_train_only,1
798,183,0,2015-04,2016-03,2016-04,2000-01,2000-12,2001-01,102.3,100.5,1.8,0.699408,large,delta_stratified_train_only,1
799,183,8,2015-04,2016-03,2016-04,2000-09,2001-08,2001-09,102.3,100.0,2.3,1.475669,large,delta_stratified_train_only,0
800,183,3,2015-04,2016-03,2016-04,2000-04,2001-03,2001-04,102.3,101.3,1.0,1.159136,medium,delta_stratified_train_only,0
801,183,142,2015-04,2016-03,2016-04,2011-11,2012-10,2012-11,102.3,102.0,0.3,1.781422,medium,delta_stratified_train_only,0
802,183,128,2015-04,2016-03,2016-04,2010-09,2011-08,2011-09,102.3,106.07,-3.77,0.865259,small,delta_stratified_train_only,1
803,183,45,2015-04,2016-03,2016-04,2003-10,2004-09,2004-10,102.3,103.8,-1.5,1.016568,small,delta_stratified_train_only,0
804,184,105,2015-05,2016-04,2016-05,2008-10,2009-09,2009-10,102.0,99.47,2.53,1.710498,large,delta_stratified_train_only,0
805,184,17,2015-05,2016-04,2016-05,2001-06,2002-05,2002-06,102.0,99.0,3.0,1.840759,large,delta_stratified_train_only,0
806,184,161,2015-05,2016-04,2016-05,2013-06,2014-05,2014-06,102.0,102.3,-0.3,1.711231,medium,delta_stratified_train_only,0
807,184,157,2015-05,2016-04,2016-05,2013-02,2014-01,2014-02,102.0,102.0,0.0,1.51058,medium,delta_stratified_train_only,0
808,184,118,2015-05,2016-04,2016-05,2009-11,2010-10,2010-11,102.0,105.12,-3.12,0.692064,small,delta_stratified_train_only,1
809,184,40,2015-05,2016-04,2016-05,2003-05,2004-04,2004-05,102.0,104.4,-2.4,0.83712,small,delta_stratified_train_only,1
810,185,20,2015-06,2016-05,2016-06,2001-09,2002-08,2002-09,101.9,99.1,2.8,1.776279,large,delta_stratified_train_only,0
811,185,11,2015-06,2016-05,2016-06,2000-12,2001-11,2001-12,101.9,99.3,2.6,1.879844,large,delta_stratified_train_only,0
812,185,25,2015-06,2016-05,2016-06,2002-02,2003-01,2003-02,101.9,100.3,1.6,1.00362,medium,delta_stratified_train_only,1
813,185,96,2015-06,2016-05,2016-06,2008-01,2008-12,2009-01,101.9,100.95,0.95,1.831727,medium,delta_stratified_train_only,0
814,185,43,2015-06,2016-05,2016-06,2003-08,2004-07,2004-08,101.9,105.0,-3.1,0.735342,small,delta_stratified_train_only,0
815,185,122,2015-06,2016-05,2016-06,2010-03,2011-02,2011-03,101.9,105.38,-3.48,0.639238,small,delta_stratified_train_only,0
816,186,22,2015-07,2016-06,2016-07,2001-11,2002-10,2002-11,101.8,99.5,2.3,1.569524,large,delta_stratified_train_only,0
817,186,101,2015-07,2016-06,2016-07,2008-06,2009-05,2009-06,101.8,98.3,3.5,1.817416,large,delta_stratified_train_only,0
818,186,28,2015-07,2016-06,2016-07,2002-05,2003-04,2003-05,101.8,100.4,1.4,0.812803,medium,delta_stratified_train_only,1
819,186,66,2015-07,2016-06,2016-07,2005-07,2006-06,2006-07,101.8,101.0,0.8,1.586212,medium,delta_stratified_train_only,0
820,186,123,2015-07,2016-06,2016-07,2010-04,2011-03,2011-04,101.8,105.34,-3.54,0.773214,small,delta_stratified_train_only,0
821,186,45,2015-07,2016-06,2016-07,2003-10,2004-09,2004-10,101.8,103.8,-2.0,0.673272,small,delta_stratified_train_only,0
822,187,101,2015-08,2016-07,2016-08,2008-06,2009-05,2009-06,101.3,98.3,3.0,1.756438,large,delta_stratified_train_only,0
823,187,10,2015-08,2016-07,2016-08,2000-11,2001-10,2001-11,101.3,99.5,1.8,1.119863,large,delta_stratified_train_only,0
824,187,61,2015-08,2016-07,2016-08,2005-02,2006-01,2006-02,101.3,100.9,0.4,1.784377,medium,delta_stratified_train_only,0
825,187,138,2015-08,2016-07,2016-08,2011-07,2012-06,2012-07,101.3,101.8,-0.5,1.706217,medium,delta_stratified_train_only,0
826,187,150,2015-08,2016-07,2016-08,2012-07,2013-06,2013-07,101.3,102.7,-1.4,1.062496,small,delta_stratified_train_only,0
827,187,87,2015-08,2016-07,2016-08,2007-04,2008-03,2008-04,101.3,108.48,-7.18,1.158736,small,delta_stratified_train_only,0
828,188,18,2015-09,2016-08,2016-09,2001-07,2002-06,2002-07,101.9,99.0,2.9,1.708904,large,delta_stratified_train_only,0
829,188,105,2015-09,2016-08,2016-09,2008-10,2009-09,2009-10,101.9,99.47,2.43,1.796585,large,delta_stratified_train_only,0
830,188,144,2015-09,2016-08,2016-09,2012-01,2012-12,2013-01,101.9,102.0,-0.1,1.802152,medium,delta_stratified_train_only,0
831,188,155,2015-09,2016-08,2016-09,2012-12,2013-11,2013-12,101.9,102.5,-0.6,1.439808,medium,delta_stratified_train_only,0
832,188,88,2015-09,2016-08,2016-09,2007-05,2008-04,2008-05,101.9,107.72,-5.82,1.238391,small,delta_stratified_train_only,0
833,188,118,2015-09,2016-08,2016-09,2009-11,2010-10,2010-11,101.9,105.12,-3.22,1.246254,small,delta_stratified_train_only,0
834,189,13,2015-10,2016-09,2016-10,2001-02,2002-01,2002-02,102.1,99.2,2.9,1.280669,large,delta_stratified_train_only,0
835,189,24,2015-10,2016-09,2016-10,2002-01,2002-12,2003-01,102.1,100.1,2.0,1.717978,large,delta_stratified_train_only,1
836,189,33,2015-10,2016-09,2016-10,2002-10,2003-09,2003-10,102.1,102.0,0.1,1.070758,medium,delta_stratified_train_only,0
837,189,111,2015-10,2016-09,2016-10,2009-04,2010-03,2010-04,102.1,102.81,-0.71,1.473774,medium,delta_stratified_train_only,0
838,189,116,2015-10,2016-09,2016-10,2009-09,2010-08,2010-09,102.1,103.61,-1.51,1.062256,small,delta_stratified_train_only,0
839,189,88,2015-10,2016-09,2016-10,2007-05,2008-04,2008-05,102.1,107.72,-5.62,1.202166,small,delta_stratified_train_only,0
840,190,18,2015-11,2016-10,2016-11,2001-07,2002-06,2002-07,102.3,99.0,3.3,1.551523,large,delta_stratified_train_only,0
841,190,26,2015-11,2016-10,2016-11,2002-03,2003-02,2003-03,102.3,100.6,1.7,1.48353,large,delta_stratified_train_only,0
842,190,151,2015-11,2016-10,2016-11,2012-08,2013-07,2013-08,102.3,102.6,-0.3,1.205936,medium,delta_stratified_train_only,0
843,190,51,2015-11,2016-10,2016-11,2004-04,2005-03,2005-04,102.3,102.2,0.1,1.059769,medium,delta_stratified_train_only,0
844,190,129,2015-11,2016-10,2016-11,2010-10,2011-09,2011-10,102.3,105.5,-3.2,1.526545,small,delta_stratified_train_only,0
845,190,74,2015-11,2016-10,2016-11,2006-03,2007-02,2007-03,102.3,103.3,-1.0,1.556768,small,delta_stratified_train_only,0
846,191,28,2015-12,2016-11,2016-12,2002-05,2003-04,2003-05,102.1,100.4,1.7,1.443278,large,delta_stratified_train_only,0
847,191,21,2015-12,2016-11,2016-12,2001-10,2002-09,2002-10,102.1,99.1,3.0,1.4237,large,delta_stratified_train_only,0
848,191,71,2015-12,2016-11,2016-12,2005-12,2006-11,2006-12,102.1,102.8,-0.7,1.543387,medium,delta_stratified_train_only,0
