model,num_supervised_train_targets,num_train_pairs,alpha,val_mae,val_rmse,test_mae,test_rmse
ordinary_optical_reservoir_recent50,50,0,1.0,0.5820563557343796,0.7815844499356535,0.9102614465519318,0.988835844757494
siamese_optical_reservoir_recent50_targets,50,300,10.0,0.3856945591723436,0.48028493628881,0.3206152718276911,0.3903432330936015
