gap_months,alpha,mae,rmse
1,0.0,62.71020084990869,180.71629794216585
1,1e-06,37.57771598552866,129.07386340789026
1,0.0001,3.33853410959123,6.675648356683001
1,0.01,1.9608360184931315,3.259129411462807
1,0.1,1.6550636637323761,2.250692206263518
1,1.0,1.0550083719395897,1.3049811686331687
1,10.0,0.7449148756918239,0.9992104359241227
1,100.0,0.6160160905878149,0.8623581408076708
1,1000.0,0.7655912860070164,1.0083027265712938
1,10000.0,0.923745678897272,1.1897685782570637
1,100000.0,0.951113001421608,1.2250778664566266
3,0.0,35.058456438433275,103.23010931000061
3,1e-06,31.222282808382037,97.61143603965628
3,0.0001,4.753833106975055,8.98698344386081
3,0.01,1.9854251072580882,3.212396733158793
3,0.1,1.647554070719119,2.100223591259472
3,1.0,1.1135756677532869,1.3746480034288642
3,10.0,0.8202455406354946,1.0741679886011746
3,100.0,0.6442390413269661,0.8836984631820544
3,1000.0,0.7873554295109177,1.031602473907159
3,10000.0,0.9279810652169415,1.1950968059505322
3,100000.0,0.9505501685871672,1.223593584561715
6,0.0,27.666474249050992,65.21675972999854
6,1e-06,16.790445641906913,33.09707409803163
6,0.0001,6.084274526545298,11.99544589141965
6,0.01,1.8902998887600098,2.766733838880713
6,0.1,1.556905589615519,1.957427865990513
6,1.0,1.1145370723462265,1.3914422716639512
6,10.0,0.892281600859288,1.156883452772904
6,100.0,0.6971272530716289,0.9490858588848853
6,1000.0,0.8198550241637927,1.0703645472890133
6,10000.0,0.9360545656838218,1.206167007145921
6,100000.0,0.9548090887375877,1.2308272435248044
12,0.0,6.087172400411559,12.983245444331908
12,1e-06,6.185977036803873,11.646197386203498
12,0.0001,4.6082881166063485,8.092980956620258
12,0.01,2.7516361419162085,3.661431839386882
12,0.1,1.7999073402510186,2.1269353247427105
12,1.0,1.0535295510580271,1.2782733698595343
12,10.0,0.7442829218307793,0.9732654103946758
12,100.0,0.7500176156525675,0.9681322035092627
12,1000.0,0.9030991788592038,1.1501142956690091
12,10000.0,0.9539460803193012,1.2219950584665942
12,100000.0,0.9587919345849865,1.2307394768105642
