sample_i_id,sample_j_id,x_i_start_date,x_i_end_date,target_i_date,x_j_start_date,x_j_end_date,target_j_date,cpi_i,cpi_j,delta_cpi,window_distance,shape_distance,level_distance,shape_distance_normalized,level_distance_normalized,hybrid_distance,delta_bin,selection_method
187,172,2015-08,2016-07,2016-08,2014-05,2015-04,2015-05,101.3,101.2,0.1,1.80281,1.80281,0.6718913477461167,1.217705946043795,0.5549431469681205,0.8863245465059577,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
187,175,2015-08,2016-07,2016-08,2014-08,2015-07,2015-08,101.3,102.0,-0.7,1.461725,1.461725,1.1279983449610158,0.9873204741380766,0.9316609797511947,0.9594907269446356,small,closed50_delta_stratified_train_gap1_hybrid_metadata
187,173,2015-08,2016-07,2016-08,2014-06,2015-05,2015-06,101.3,101.4,-0.1,1.73029,1.73029,1.2340710466294569,1.1687223952497034,1.0192708575517613,1.0939966264007324,small,closed50_delta_stratified_train_gap1_hybrid_metadata
188,172,2015-09,2016-08,2016-09,2014-05,2015-04,2015-05,101.9,101.2,0.7,1.768816,1.768816,0.44792756516410004,1.1947447377468512,0.3699620979787654,0.7823534178628083,large,closed50_delta_stratified_train_gap1_hybrid_metadata
188,168,2015-09,2016-08,2016-09,2014-01,2014-12,2015-01,101.9,100.8,1.1,1.300881,1.300881,0.5784520282261647,0.878678578882632,0.4777677075181167,0.6782231432003744,large,closed50_delta_stratified_train_gap1_hybrid_metadata
188,169,2015-09,2016-08,2016-09,2014-02,2015-01,2015-02,101.9,101.4,0.5,1.347312,1.347312,0.834143797869033,0.9100403445599687,0.6889542271472961,0.7994972858536324,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
188,174,2015-09,2016-08,2016-09,2014-07,2015-06,2015-07,101.9,101.6,0.3,1.763127,1.763127,0.7938646443499314,1.1909021092241323,0.6556859907187649,0.9232940499714486,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
188,175,2015-09,2016-08,2016-09,2014-08,2015-07,2015-08,101.9,102.0,-0.1,1.792145,1.792145,1.0518511852333128,1.2105022840302953,0.8687678578294294,1.0396350709298623,small,closed50_delta_stratified_train_gap1_hybrid_metadata
188,162,2015-09,2016-08,2016-09,2013-07,2014-06,2014-07,101.9,102.3,-0.4,1.66794,1.66794,2.534017042257984,1.1266081592870503,2.0929505888396402,1.6097793740633453,small,closed50_delta_stratified_train_gap1_hybrid_metadata
189,172,2015-10,2016-09,2016-10,2014-05,2015-04,2015-05,102.1,101.2,0.9,1.725569,1.725569,0.7565048077393461,1.1655336012163482,0.6248289401428925,0.8951812706796203,large,closed50_delta_stratified_train_gap1_hybrid_metadata
189,170,2015-10,2016-09,2016-10,2014-03,2015-02,2015-03,102.1,101.4,0.7,1.346303,1.346303,0.8316305589665125,0.9093588166676461,0.686878438092524,0.7981186273800851,large,closed50_delta_stratified_train_gap1_hybrid_metadata
189,164,2015-10,2016-09,2016-10,2013-09,2014-08,2014-09,102.1,101.6,0.5,1.767028,1.767028,1.6474714635011918,1.1935370351983152,1.3607155406337952,1.2771262879160552,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
189,174,2015-10,2016-09,2016-10,2014-07,2015-06,2015-07,102.1,101.6,0.5,1.780173,1.780173,1.179696302663415,1.2024158103663838,0.9743604838234436,1.0883881470949137,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
189,162,2015-10,2016-09,2016-10,2013-07,2014-06,2014-07,102.1,102.3,-0.2,1.47707,1.47707,1.9693222874357914,0.9976852367819726,1.6265455884349749,1.3121154126084738,small,closed50_delta_stratified_train_gap1_hybrid_metadata
190,164,2015-11,2016-10,2016-11,2013-09,2014-08,2014-09,102.3,101.6,0.7,1.694246,1.694246,1.4759036695361547,1.1443765168048297,1.2190105286244541,1.181693522714642,large,closed50_delta_stratified_train_gap1_hybrid_metadata
190,171,2015-11,2016-10,2016-11,2014-04,2015-03,2015-04,102.3,101.5,0.8,1.207636,1.207636,1.2514419204736849,0.815696350617394,1.0336181883055198,0.9246572694614569,large,closed50_delta_stratified_train_gap1_hybrid_metadata
190,163,2015-11,2016-10,2016-11,2013-08,2014-07,2014-08,102.3,102.0,0.3,1.465189,1.465189,1.629942514710596,0.9896602289636521,1.346237649174815,1.1679489390692335,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
190,175,2015-11,2016-10,2016-11,2014-08,2015-07,2015-08,102.3,102.0,0.3,1.654273,1.654273,1.4284919140692736,1.1173767998178992,1.1798511781277785,1.1486139889728388,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
191,168,2015-12,2016-11,2016-12,2014-01,2014-12,2015-01,102.1,100.8,1.3,1.370219,1.370219,1.3250106952044602,0.925512851427595,1.0943817142902479,1.0099472828589215,large,closed50_delta_stratified_train_gap1_hybrid_metadata
191,171,2015-12,2016-11,2016-12,2014-04,2015-03,2015-04,102.1,101.5,0.6,1.21853,1.21853,1.6233758431395104,0.82305469041815,1.3408139606588239,1.081934325538487,large,closed50_delta_stratified_train_gap1_hybrid_metadata
191,175,2015-12,2016-11,2016-12,2014-08,2015-07,2015-08,102.1,102.0,0.1,1.525163,1.525163,1.7689156968169388,1.0301695984524117,1.4610214089017064,1.245595503677059,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
191,165,2015-12,2016-11,2016-12,2013-10,2014-09,2014-10,102.1,101.6,0.5,1.688563,1.688563,1.510935741815462,1.1405379409752265,1.2479449813461752,1.1942414611607008,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
191,162,2015-12,2016-11,2016-12,2013-07,2014-06,2014-07,102.1,102.3,-0.2,1.058107,1.058107,1.5097385973299684,0.7146971591296706,1.2469562096788753,0.980826684404273,small,closed50_delta_stratified_train_gap1_hybrid_metadata
192,171,2016-01,2016-12,2017-01,2014-04,2015-03,2015-04,102.5,101.5,1.0,1.099018,1.099018,1.3823148945771875,0.742330447140386,1.1417116476806182,0.9420210474105021,large,closed50_delta_stratified_train_gap1_hybrid_metadata
192,173,2016-01,2016-12,2017-01,2014-06,2015-05,2015-06,102.5,101.4,1.1,0.991271,0.991271,1.8511065699441853,0.6695528596140351,1.528906286327642,1.0992295729708386,large,closed50_delta_stratified_train_gap1_hybrid_metadata
192,175,2016-01,2016-12,2017-01,2014-08,2015-07,2015-08,102.5,102.0,0.5,1.379125,1.379125,1.6650208341227333,0.9315283989092852,1.3752102993365194,1.1533693491229022,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
192,162,2016-01,2016-12,2017-01,2013-07,2014-06,2014-07,102.5,102.3,0.2,1.025601,1.025601,1.4404133579914378,0.6927410187254686,1.1896975969405261,0.9412193078329973,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
193,168,2016-02,2017-01,2017-02,2014-01,2014-12,2015-01,100.8,100.8,0.0,1.648971,1.648971,1.6656366226838006,1.113795570001155,1.3757189048470562,1.2447572374241056,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
193,176,2016-02,2017-01,2017-02,2014-09,2015-08,2015-09,100.8,101.6,-0.8,1.063653,1.063653,1.7976130458367396,0.7184431984664609,1.4847237489126517,1.1015834736895562,small,closed50_delta_stratified_train_gap1_hybrid_metadata
193,165,2016-02,2017-01,2017-02,2013-10,2014-09,2014-10,100.8,101.6,-0.8,1.19325,1.19325,1.6502319216806056,0.8059793434231882,1.362995518422312,1.0844874309227501,small,closed50_delta_stratified_train_gap1_hybrid_metadata
194,168,2016-03,2017-02,2017-03,2014-01,2014-12,2015-01,100.9,100.8,0.1,1.426104,1.426104,1.1652093225548745,0.9632603105578735,0.9623950814433316,0.9628276960006026,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
194,175,2016-03,2017-02,2017-03,2014-08,2015-07,2015-08,100.9,102.0,-1.1,1.181191,1.181191,1.8359487283881837,0.7978341057090964,1.5163867914382536,1.157110448573675,small,closed50_delta_stratified_train_gap1_hybrid_metadata
194,180,2016-03,2017-02,2017-03,2015-01,2015-12,2016-01,100.9,101.8,-0.9,1.515545,1.515545,1.8509625658164668,1.0236731313876353,1.5287873472996567,1.276230239343646,small,closed50_delta_stratified_train_gap1_hybrid_metadata
195,168,2016-04,2017-03,2017-04,2014-01,2014-12,2015-01,101.2,100.8,0.4,1.154632,1.154632,1.0822505620930314,0.7798948596315968,0.8938759737725694,0.8368854167020832,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
195,172,2016-04,2017-03,2017-04,2014-05,2015-04,2015-05,101.2,101.2,0.0,1.305969,1.305969,1.0508484460130871,0.8821152626449091,0.8679396535962196,0.8750274581205644,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
195,167,2016-04,2017-03,2017-04,2013-12,2014-11,2014-12,101.2,101.5,-0.3,0.920897,0.920897,1.050150289856398,0.622018822057728,0.8673630172457621,0.744690919651745,small,closed50_delta_stratified_train_gap1_hybrid_metadata
195,165,2016-04,2017-03,2017-04,2013-10,2014-09,2014-10,101.2,101.6,-0.4,0.90309,0.90309,1.7689156968169235,0.6099911043386106,1.4610214089016937,1.035506256620152,small,closed50_delta_stratified_train_gap1_hybrid_metadata
196,168,2016-05,2017-04,2017-05,2014-01,2014-12,2015-01,101.5,100.8,0.7,0.909317,0.909317,0.832660800961353,0.6141971243440548,0.6877293580168145,0.6509632411804347,large,closed50_delta_stratified_train_gap1_hybrid_metadata
196,169,2016-05,2017-04,2017-05,2014-02,2015-01,2015-02,101.5,101.4,0.1,1.110163,1.110163,0.7273507672802625,0.7498583246031569,0.6007493995840324,0.6753038620935947,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
196,177,2016-05,2017-04,2017-05,2014-10,2015-09,2015-10,101.5,101.3,0.2,1.604471,1.604471,0.9877236234967826,1.0837380960582832,0.8158022242685258,0.9497701601634045,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
196,175,2016-05,2017-04,2017-05,2014-08,2015-07,2015-08,101.5,102.0,-0.5,1.346278,1.346278,0.9877236234967552,0.9093419304463299,0.8158022242685032,0.8625720773574166,small,closed50_delta_stratified_train_gap1_hybrid_metadata
196,183,2016-05,2017-04,2017-05,2015-04,2016-03,2016-04,101.5,102.3,-0.8,1.809455,1.809455,1.8259682708639287,1.222194303669646,1.5081435144184332,1.3651689090440398,small,closed50_delta_stratified_train_gap1_hybrid_metadata
197,168,2016-06,2017-05,2017-06,2014-01,2014-12,2015-01,101.5,100.8,0.7,0.889347,0.889347,0.7764369929125721,0.600708410756658,0.6412917649777212,0.6210000878671896,large,closed50_delta_stratified_train_gap1_hybrid_metadata
197,177,2016-06,2017-05,2017-06,2014-10,2015-09,2015-10,101.5,101.3,0.2,1.693033,1.693033,0.6469704788880067,1.1435571973465668,0.5343599597672561,0.8389585785569115,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
197,178,2016-06,2017-05,2017-06,2014-11,2015-10,2015-11,101.5,101.5,0.0,1.612698,1.612698,0.7653731664642837,1.089295013769025,0.6321536882822578,0.8607243510256414,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
197,174,2016-06,2017-05,2017-06,2014-07,2015-06,2015-07,101.5,101.6,-0.1,1.398143,1.398143,0.5025004877625373,0.9443740851889602,0.4150361557227981,0.6797051204558792,small,closed50_delta_stratified_train_gap1_hybrid_metadata
197,184,2016-06,2017-05,2017-06,2015-05,2016-04,2016-05,101.5,102.0,-0.5,1.793657,1.793657,1.3297416324818252,1.2115235626955003,1.0982891931253553,1.1549063779104278,small,closed50_delta_stratified_train_gap1_hybrid_metadata
198,168,2016-07,2017-06,2017-07,2014-01,2014-12,2015-01,101.4,100.8,0.6,0.90255,0.90255,0.8627077699028128,0.6096263619581802,0.7125464055307642,0.6610863837444723,large,closed50_delta_stratified_train_gap1_hybrid_metadata
198,177,2016-07,2017-06,2017-07,2014-10,2015-09,2015-10,101.4,101.3,0.1,1.485565,1.485565,0.5639991724805747,1.0034231747852242,0.4658304898756525,0.7346268323304384,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
198,172,2016-07,2017-06,2017-07,2014-05,2015-04,2015-05,101.4,101.2,0.2,1.182175,1.182175,0.08627077699024083,0.7984987473801027,0.071254640553043,0.43487669396657286,medium,closed50_delta_stratified_train_gap1_hybrid_metadata
