model,gap_months,feature_mode,val_mae,val_rmse,test_mae,test_rmse
ordinary_optical_reservoir_closed50,,direct_state_50d,0.5820563557343796,0.7815844499356535,0.9102614465519318,0.988835844757494
original_siamese_closed50_gap12,12.0,h_i_minus_h_j_50d,0.5163371469757133,0.6967380644573966,0.7999780637615053,0.8863711431351415
hybrid_100d_siamese_closed50,1.0,h_i_and_h_i_minus_h_j_100d,0.6160160905878149,0.8623581408076708,0.9881232431433573,1.0869185835180586
