epoch,total_train_loss,correction_train_loss,similarity_train_loss,val_mae,val_rmse,validation_block_rmse_std,fitness,is_new_best,seed,similarity_weight
0,,,,0.35304854906951594,0.44679092931184033,0.05225748591447115,0.4520166779032875,1,42,0.0
5,0.42145201563835144,0.42145201563835144,0.24346797168254852,0.3533430124597004,0.4471768507618268,0.05237505766598579,0.4524143565284254,0,42,0.0
10,0.42046958208084106,0.42046958208084106,0.28356462717056274,0.35376653242849093,0.44767655528297134,0.05250735532916106,0.45292729081588745,0,42,0.0
15,0.4189453125,0.4189453125,0.3373033404350281,0.3542331228032481,0.4482067440072399,0.0526361087197746,0.4534703548792174,0,42,0.0
20,0.41699597239494324,0.41699597239494324,0.38481807708740234,0.3546622343840915,0.4486965956444838,0.05279543276586727,0.4539761389210705,0,42,0.0
25,0.414459228515625,0.414459228515625,0.4071398675441742,0.35523131565672245,0.44916951103807606,0.05302282120446355,0.45447179315852243,0,42,0.0
30,0.41125765442848206,0.41125765442848206,0.4054405689239502,0.3556625812537719,0.44943877649377917,0.05316129696140497,0.45475490618991965,0,42,0.0
35,0.40730971097946167,0.40730971097946167,0.3939729332923889,0.3558477781783097,0.4493060729435992,0.05279879417757334,0.4545859523613565,0,42,0.0
40,0.4027739465236664,0.4027739465236664,0.3791539669036865,0.35647349433644643,0.44948750394284553,0.052351983143469644,0.4547227022571925,0,42,0.0
45,0.39742714166641235,0.39742714166641235,0.3606921136379242,0.35745260165491194,0.4499568552678954,0.05186256215555347,0.45514311148345077,0,42,0.0
50,0.3912677764892578,0.3912677764892578,0.34531471133232117,0.35863687561743895,0.4506310263435415,0.05161858740224606,0.45579288508376614,0,42,0.0
55,0.3847188651561737,0.3847188651561737,0.36065301299095154,0.3601704383522133,0.45206930307539334,0.052548755049632974,0.4573241785803566,0,42,0.0
60,0.37740668654441833,0.37740668654441833,0.3707233965396881,0.36196580631372294,0.45400301977690516,0.05423604573172123,0.4594266243500773,0,42,0.0
65,0.3696179687976837,0.3696179687976837,0.3863753378391266,0.3639539936617521,0.45645584043792425,0.05684854603395701,0.46214069504131994,0,42,0.0
70,0.36081770062446594,0.36081770062446594,0.38214007019996643,0.36520078721971333,0.45799123963244465,0.059443656874429526,0.4639356053198876,0,42,0.0
75,0.351690411567688,0.351690411567688,0.3756561279296875,0.36575870677544436,0.4589025830073894,0.0614985046892911,0.4650524334763185,0,42,0.0
80,0.3415680229663849,0.3415680229663849,0.36476731300354004,0.3655997897823808,0.45961692728576425,0.06288140920631052,0.4659050682063953,0,42,0.0
85,0.3300621211528778,0.3300621211528778,0.3489043712615967,0.36567624426495354,0.4611924306937717,0.06423763681103324,0.467616194374875,0,42,0.0
90,0.31635019183158875,0.31635019183158875,0.34082451462745667,0.3662102696265019,0.4621322222103608,0.06578098329029727,0.46871032053939055,0,42,0.0
95,0.29987525939941406,0.29987525939941406,0.31445959210395813,0.3655236213029711,0.4620013187296547,0.06736508517851579,0.4687378272475063,0,42,0.0
100,0.28056347370147705,0.28056347370147705,0.27923423051834106,0.3625013751123817,0.4611405154199993,0.06926719787583625,0.4680672352075829,0,42,0.0
105,0.26261231303215027,0.26261231303215027,0.2673392593860626,0.3654448007015453,0.4618059711778431,0.06969859446952559,0.46877583062479566,0,42,0.0
110,0.24747489392757416,0.24747489392757416,0.255565881729126,0.3678240941658408,0.46504111361233114,0.07142621172121867,0.472183734784453,0,42,0.0
115,0.23255039751529694,0.23255039751529694,0.2528356909751892,0.36934747902525594,0.46786920467314397,0.07330096321154006,0.47519930099429797,0,42,0.0
120,0.21529552340507507,0.21529552340507507,0.23845434188842773,0.3711991316712095,0.4697384965707832,0.07493426100710106,0.47723192267149334,0,42,0.0
125,0.19845597445964813,0.19845597445964813,0.24541346728801727,0.3712076840720458,0.47048313402501235,0.07722750584668003,0.47820588460968033,0,42,0.0
130,0.18243885040283203,0.18243885040283203,0.23141054809093475,0.3729962156144233,0.4722750177747067,0.07929338111180767,0.4802043558858875,0,42,0.0
135,0.16668464243412018,0.16668464243412018,0.22699709236621857,0.37572170582443,0.4758271659770587,0.08036667918365499,0.4838638338954242,0,42,0.0
140,0.15135793387889862,0.15135793387889862,0.21309179067611694,0.38051956392821973,0.47982331106603826,0.07998749503234195,0.48782206056927246,0,42,0.0
145,0.13649067282676697,0.13649067282676697,0.2002629041671753,0.38712762006296436,0.48528064723327097,0.07947724204162673,0.49322837143743364,0,42,0.0
150,0.12249082326889038,0.12249082326889038,0.18987657129764557,0.39434766360560586,0.49170359938813823,0.07817508822550749,0.49952110821068896,0,42,0.0
155,0.1100912019610405,0.1100912019610405,0.1805269420146942,0.4018465147395849,0.49900748804487594,0.0766861223408457,0.5066761002789605,0,42,0.0
160,0.09921479225158691,0.09921479225158691,0.17291900515556335,0.40930898129103954,0.5069758297311223,0.07541311325726652,0.514517141056849,0,42,0.0
165,0.08955466002225876,0.08955466002225876,0.17138983309268951,0.41496467296623857,0.5137480539654509,0.07407085730219341,0.5211551396956702,0,42,0.0
170,0.08098752796649933,0.08098752796649933,0.17407681047916412,0.4187666659175537,0.5186153674799194,0.07275282535923122,0.5258906500158426,0,42,0.0
175,0.07353825867176056,0.07353825867176056,0.1756437122821808,0.4217900323685759,0.5227808783398077,0.07234401368537283,0.5300152797083449,0,42,0.0
180,0.06719841808080673,0.06719841808080673,0.17347972095012665,0.42575680120181275,0.5266521925765878,0.0721180976631992,0.5338640023429078,0,42,0.0
185,0.06216017156839371,0.06216017156839371,0.16884233057498932,0.4306783272018641,0.5319642827376279,0.07304359154756032,0.5392686418923839,0,42,0.0
190,0.05757290869951248,0.05757290869951248,0.15842518210411072,0.4338093232170138,0.5346336008098349,0.07211441415397118,0.541845042225232,0,42,0.0
195,0.053761076182127,0.053761076182127,0.14948096871376038,0.4361969202596413,0.5386492506161871,0.07254628832527311,0.5459038794487144,0,42,0.0
200,0.0501544363796711,0.0501544363796711,0.1466459333896637,0.4392783596701709,0.5422999681494446,0.07243679963569431,0.549543648113014,0,42,0.0
205,0.047148238867521286,0.047148238867521286,0.14373080432415009,0.4430567205861308,0.5459005468060091,0.07201443496184644,0.5531019903021938,0,42,0.0
210,0.04437584802508354,0.04437584802508354,0.1400872766971588,0.4461246892494911,0.5490386300513455,0.07170374291553168,0.5562090043428987,0,42,0.0
215,0.041921112686395645,0.041921112686395645,0.13756398856639862,0.4483255373356277,0.5517286649602573,0.07151086655833824,0.5588797516160912,0,42,0.0
220,0.039629723876714706,0.039629723876714706,0.13585419952869415,0.44971408534931734,0.5539259046068356,0.071425694212092,0.5610684740280447,0,42,0.0
225,0.03750389441847801,0.03750389441847801,0.13592389225959778,0.45054792828063783,0.5556860505595148,0.07130163235699988,0.5628162137952148,0,42,0.0
230,0.03552298620343208,0.03552298620343208,0.13583768904209137,0.4513116856714213,0.5572588348958811,0.0709047794137346,0.5643493128372545,0,42,0.0
235,0.033646468073129654,0.033646468073129654,0.13589362800121307,0.452298584812569,0.5589692768693888,0.0704344058081877,0.5660127174502075,0,42,0.0
240,0.03184295445680618,0.03184295445680618,0.13677574694156647,0.4530687744489942,0.5605009349779182,0.07005706857727739,0.5675066418356459,0,42,0.0
