seed,iteration,best_fitness,population_mean_fitness
42.0,0.0,0.7126634923994579,0.8696746725093849
42.0,1.0,0.7055922141673586,0.8542958753336642
42.0,2.0,0.7055922141673586,0.8607678459416882
42.0,3.0,0.7052330659050392,0.8203880118664215
42.0,4.0,0.7052330659050392,0.845772732305868
42.0,5.0,0.7052330659050392,0.8577202015016302
42.0,6.0,0.7052330659050392,0.8926530112358498
42.0,7.0,0.7052330659050392,0.8420198000057609
42.0,8.0,0.7051174868835681,0.8615838819267624
42.0,9.0,0.7051174868835681,0.8602957514865719
42.0,10.0,0.7051174868835681,0.8170787001578046
42.0,11.0,0.7035657867351912,0.8432205240129861
42.0,12.0,0.7035657867351912,0.8601679239043941
43.0,0.0,0.7126634923994579,0.8566716045780903
43.0,1.0,0.7126634923994579,0.8328943551613762
43.0,2.0,0.7125619266396293,0.829949593975646
43.0,3.0,0.7125619266396293,0.8669366070558562
43.0,4.0,0.7125619266396293,0.8351169307602478
43.0,5.0,0.7125619266396293,0.85673677378291
43.0,6.0,0.7061964986484129,0.8324185022048178
43.0,7.0,0.7060156012643795,0.8602229787857999
43.0,8.0,0.7053361574585385,0.8075551266228321
43.0,9.0,0.7053361574585385,0.8505834414679133
43.0,10.0,0.7053361574585385,0.8494141574571863
43.0,11.0,0.7053361574585385,0.8395025372218156
43.0,12.0,0.7053361574585385,0.8452979168275387
44.0,0.0,0.7126634923994579,0.8256950335084309
44.0,1.0,0.7126634923994579,0.8489100465961342
44.0,2.0,0.7126634923994579,0.86280261655277
44.0,3.0,0.7126634923994579,0.8332483380542629
44.0,4.0,0.7107627787716265,0.8077412986653161
44.0,5.0,0.7103599482360512,0.8553252941383965
44.0,6.0,0.7101409710875172,0.827458320290302
44.0,7.0,0.7101409710875172,0.8335665224553176
44.0,8.0,0.7101409710875172,0.8280080495727598
44.0,9.0,0.7101409710875172,0.8199670410758335
44.0,10.0,0.7101257115892512,0.8271241360734161
44.0,11.0,0.7099202497232797,0.8136709536319183
44.0,12.0,0.7099202497232797,0.8473939949338499
