evaluation_index,gap_months,k_references,level_weight,distance_power,max_pairs_per_bin,shape_weight,fitness,val_mae,val_rmse,validation_block_rmse_std,selected_alpha,num_train_pairs,num_train_pair_targets
104,12,8,0.0,0.604,2,1.0,0.7035657867351912,0.5116859562876795,0.6883808279168618,0.15184958818329358,1.0,118,27
78,12,8,0.0,0.785,2,1.0,0.7051174868835681,0.5125049567924845,0.6899098656959529,0.15207621187615158,1.0,118,27
34,12,8,0.0,0.798,2,1.0,0.7052330659050392,0.5125656141660304,0.6900240111683952,0.15209054736643968,1.0,118,27
190,12,8,0.001,0.835,2,0.999,0.7053361574585385,0.5123555557130295,0.6901457392437068,0.15190418214831672,1.0,118,27
12,12,8,0.0,0.838,2,1.0,0.7055922141673586,0.5127537540939673,0.6903789234807846,0.1521329068657403,1.0,118,27
199,12,8,0.0,0.873,2,1.0,0.7059108483106767,0.5129202144376617,0.6906940730856023,0.15216775225074455,1.0,118,27
181,12,8,0.001,0.909,2,0.999,0.7060156012643795,0.512713027809869,0.6908181301107453,0.1519747115363414,1.0,118,27
174,12,8,0.0,0.904,2,1.0,0.7061964986484129,0.513069061560851,0.690976814921977,0.15219683726435934,1.0,118,27
231,12,8,0.027,0.809,2,0.973,0.7062317454139447,0.5119944222800998,0.6911568538557399,0.15074891558204864,1.0,118,27
194,12,8,0.0,0.923,2,1.0,0.7063731743209037,0.5131609369142193,0.6911517922757507,0.1522138204515305,1.0,118,27
112,12,8,0.0,0.966,2,1.0,0.7067775265019187,0.5133706514849191,0.6915525427159047,0.15224983786013957,1.0,118,27
94,12,8,0.006,0.79,2,0.994,0.7068032817651495,0.5139656553712033,0.6916247687423351,0.15178513022814397,1.0,118,27
221,12,8,0.032,0.804,2,0.968,0.7068371525778232,0.5128058365784414,0.691691874519384,0.1514527805843927,1.0,118,27
230,12,8,0.003,0.837,2,0.997,0.7070853179968112,0.5132041737844206,0.6918741954287188,0.15211122568092392,1.0,118,27
219,12,8,0.016,0.85,2,0.984,0.7074128162801787,0.5129535830106237,0.6922195157949816,0.15193300485197073,1.0,118,27
214,12,8,0.002,0.9,2,0.998,0.7076322640793089,0.5134785209422114,0.6924133766280851,0.15218887451223814,1.0,118,27
220,12,8,0.011,0.844,2,0.989,0.7078224143528824,0.5139412112629754,0.6926115338728643,0.15210880480018069,1.0,118,27
209,12,8,0.013,0.847,2,0.987,0.7078702170138245,0.5139946629829072,0.692663044696422,0.15207172317402398,1.0,118,27
71,12,8,0.0,1.146,2,1.0,0.708538608377077,0.5142741798512512,0.6933023769490546,0.15236231428022456,1.0,118,27
95,12,8,0.039,0.824,2,0.961,0.7086777705771715,0.515319441198375,0.693367716019595,0.1531005455757654,1.0,118,27
