residual_strength,mae,rmse,block_rmse_1,block_rmse_2,block_rmse_3,block_rmse_std,fitness
1.0,0.34838380701268207,0.44483685032450604,0.39542397371041044,0.5378909609496096,0.38464615604949837,0.06983868240088024,0.45182071856459405
0.9500000000000001,0.34951708361666617,0.44608990879013355,0.39492836663562125,0.542018643344502,0.38371342909347717,0.07212786885142261,0.4533026956752758
0.9,0.35065036022065027,0.44744322891493576,0.3945247767107383,0.5462056550262816,0.3829176312003974,0.07438995855059666,0.4548822247699954
0.8500000000000001,0.351783636824635,0.4488959039008134,0.39421348655324984,0.5504506421290761,0.38225961755854276,0.07662402039428434,0.4565583059402418
0.8,0.35294117388931767,0.4504469725014301,0.39399471493778804,0.5547522737636056,0.38174010067363,0.07882919673975511,0.45832989217540565
0.75,0.35454247314566706,0.4520954219986627,0.39386861603075063,0.5591092425093831,0.3813596465582741,0.08100470344169788,0.4601958923428325
0.7000000000000001,0.3561437724020171,0.453840191265896,0.39383527884850433,0.5635202648183079,0.3811186716735618,0.083149829787596,0.4621551742446556
0.65,0.3577450716583677,0.4556801738983732,0.39389472694364625,0.5679840813353197,0.38101744066094717,0.08526393828028368,0.46420656772640156
0.6000000000000001,0.35934637091471777,0.45761422139123903,0.39404691832188293,0.5724994571418487,0.38105606489314103,0.08734646422901221,0.46634886781414026
0.55,0.3611296857545732,0.459641146346404,0.39429174559019586,0.5770651819275218,0.3812345018624385,0.08939691512144252,0.46858083785854826
0.5,0.3631645614159939,0.461759725690143,0.3946290363351227,0.5816800700955218,0.38155255541430927,0.09141486975844751,0.4709012126659878
0.45,0.36519943707741304,0.4639687038841145,0.395058553727974,0.5863429608066992,0.3820098768232443,0.09339997714168954,0.4733087015982834
0.4,0.3672343127388321,0.46626679611360194,0.3955799973521422,0.5910527179674868,0.38260596669714303,0.09535195511097119,0.47580199162469905
0.35000000000000003,0.3692691884002515,0.468652691437758,0.39619300424570325,0.5958082301662975,0.38334017768612727,0.09727058873439184,0.47837975031119717
0.30000000000000004,0.3714347419600541,0.4711250558878544,0.39689715015099164,0.6006084105629771,0.38421171796164333,0.09915572845964542,0.481040628733819
0.25,0.3736323065553184,0.47368253550082035,0.3976919509612345,0.605452196735656,0.3852196554228162,0.10100728803922866,0.4837832643047432
0.2,0.3760625438406537,0.47632375927651016,0.39857686435285883,0.610338550489009,0.38636292257867927,0.10282524224609597,0.4866062835011198
0.15000000000000002,0.3785913630808087,0.4790473420485694,0.399551291590945,0.6152664576278888,0.38764032204794463,0.1046096243994041,0.48950830448850985
0.1,0.3811201823209634,0.48185188725993666,0.40061457949413065,0.6202349276998752,0.3890505326121012,0.10636052372233384,0.49248793963217
0.05,0.3836490015611181,0.4847359896353852,0.40176602254440896,0.6252429937102221,0.39059211575313924,0.10807808255580542,0.49554379789096575
0.0,0.38617782080127244,0.4876982377447138,0.40300486512656447,0.6302897118123698,0.3922635226039985,0.1097624934530292,0.49867448709001677
