seed,gap_months,k_references,level_weight,distance_power,max_pairs_per_bin,shape_weight,selected_alpha,val_mae,val_rmse,validation_fitness
42,12,8,0.061,1.163,2,0.9390000000000001,100.0,0.3574381551068099,0.4510998786441174,0.4591464378425837
43,12,9,0.1,1.749,2,0.9,100.0,0.3607257692875452,0.4546999241115276,0.4626004585402336
44,1,5,0.041,0.654,1,0.959,100.0,0.35304854906951594,0.44679092931184045,0.4520166779032874
