configuration,alpha,mae,rmse
baseline,0.0,72.06920457412147,193.83919407125902
baseline,1e-06,9.185961108459654,21.88109126346101
baseline,0.0001,2.140209143901495,4.911925577782226
baseline,0.01,0.8540649971204096,1.1413440562678687
baseline,0.1,0.6176383086413557,0.7896459353337356
baseline,1.0,0.5163371469757133,0.6967380644573966
baseline,10.0,0.55190834597064,0.7356050657106257
baseline,100.0,0.7138504119661033,0.9289509555800514
baseline,1000.0,0.914531204854479,1.1786107804011392
baseline,10000.0,0.9617100620611057,1.2415663186495347
baseline,100000.0,0.9678044858164747,1.2495905031103545
only_gap,0.0,72.06920457412147,193.83919407125902
only_gap,1e-06,9.185961108459654,21.88109126346101
only_gap,0.0001,2.140209143901495,4.911925577782226
only_gap,0.01,0.8540649971204096,1.1413440562678687
only_gap,0.1,0.6176383086413557,0.7896459353337356
only_gap,1.0,0.5163371469757133,0.6967380644573966
only_gap,10.0,0.55190834597064,0.7356050657106257
only_gap,100.0,0.7138504119661033,0.9289509555800514
only_gap,1000.0,0.914531204854479,1.1786107804011392
only_gap,10000.0,0.9617100620611057,1.2415663186495347
only_gap,100000.0,0.9678044858164747,1.2495905031103545
only_hybrid_distance,0.0,72.07252001193973,193.84430235101362
only_hybrid_distance,1e-06,9.189064549256774,21.882644473371563
only_hybrid_distance,0.0001,2.135558351596721,4.907857558618194
only_hybrid_distance,0.01,0.8713888019565458,1.178573469198178
only_hybrid_distance,0.1,0.6483198024309846,0.8378380953475865
only_hybrid_distance,1.0,0.5501409994253408,0.7415362673188284
only_hybrid_distance,10.0,0.5860115344163641,0.7737712952972161
only_hybrid_distance,100.0,0.7426790907193451,0.9503871563208952
only_hybrid_distance,1000.0,0.9230699353949541,1.1772612182476088
only_hybrid_distance,10000.0,0.9561591799827505,1.2258504047347614
only_hybrid_distance,100000.0,0.958987596427285,1.2311364642233495
only_100d_feature,0.0,6.090789376297847,12.99693539204377
only_100d_feature,1e-06,6.164917927635434,11.649684933490379
only_100d_feature,0.0001,4.525427974954164,8.076798569665838
only_100d_feature,0.01,2.6530862272326496,3.585922504099808
only_100d_feature,0.1,1.7172750309125775,2.05236271424509
only_100d_feature,1.0,0.9909311491012605,1.2140649862774138
only_100d_feature,10.0,0.6985373258890241,0.9265942597534164
only_100d_feature,100.0,0.7312516053592187,0.9450289550687362
only_100d_feature,1000.0,0.8946215798291468,1.152205294897337
only_100d_feature,10000.0,0.9592113838105885,1.237807287925093
only_100d_feature,100000.0,0.9675696190870484,1.2492006740041357
