alpha,cv_mae,cv_rmse
100.0,0.9447558427640494,1.1172004617004871
10.0,0.9949174294794482,1.1256149763608154
1.0,1.1312067781313984,1.2491742860288193
0.1,1.226585721442984,1.36732506277496
0.01,1.3049498673085234,1.4364274721670764
0.0001,1.3045419187373075,1.4478373215089622
1e-06,1.309598067601662,1.4838155040660062
0.0,1.3112613974380252,1.4867228029306823
